SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det2	air	1	90V	62.3nA	3543.26	2.04	180.39	5.10	37.89	0.89	0.44405
01	Ra-226	det2	air	1	90V	62.3nA	4214.05	3.93	236.18	9.26	34.29	0.66	0.69155
01	Ra-226	det2	air	1	90V	62.3nA	4415.63	3.93	123.93	9.26	38.29	0.66	0.69155
01	Ra-226	det2	air	1	90V	62.3nA	4986.10	3.93	162.05	9.26	44.39	0.66	0.69155
01	Ra-226	det2	air	1	90V	62.3nA	6849.74	0.43	164.04	1.10	53.72	0.30	0.95045
02	Ra-226	det2	air	2	90V	63.1nA	2993.59	0.72	170.66	1.84	19.62	0.17	0.87725
02	Ra-226	det2	air	2	90V	63.1nA	3692.63	1.28	175.22	3.37	13.71	0.19	0.87829
02	Ra-226	det2	air	2	90V	63.1nA	3931.64	1.28	143.73	3.37	20.27	0.19	0.87829
02	Ra-226	det2	air	2	90V	63.1nA	4567.34	0.55	141.69	1.40	21.15	0.17	0.91034
02	Ra-226	det2	air	2	90V	63.1nA	6526.45	0.50	133.16	1.27	22.72	0.18	0.91929
04	Ra-226	det2	air	4	90V	62.9nA	1518.61	1.53	196.44	4.01	5.35	0.09	0.67512
04	Ra-226	det2	air	4	90V	62.9nA	2486.56	1.89	169.43	4.82	4.13	0.10	0.68302
04	Ra-226	det2	air	4	90V	62.9nA	2794.17	1.89	160.15	4.82	5.85	0.10	0.68302
04	Ra-226	det2	air	4	90V	62.9nA	3571.86	0.90	138.66	2.30	7.11	0.10	0.78488
04	Ra-226	det2	air	4	90V	62.9nA	5792.70	0.83	130.76	2.10	7.83	0.10	0.80271
06	Ra-226	det2	air	6	90V	62.5nA	1150.31	1.67	180.78	6.28	3.12	0.05	0.58653
06	Ra-226	det2	air	6	90V	62.5nA	2313.64	1.67	177.30	4.28	2.48	0.05	0.58653
06	Ra-226	det2	air	6	90V	62.5nA	4961.65	1.32	138.39	3.36	3.16	0.06	0.62933
08	Ra-226	det2	air	8	90V	62.5nA	4013.78	2.26	161.04	5.78	1.49	0.04	0.40799
08	Ra-226	det2	air	8	90V	62.5nA	4013.78	2.26	161.04	5.78	1.49	0.04	0.40799
10	Ra-226	det2	air	10	90V	62.6nA	2875.97	3.65	206.09	9.42	0.74	0.03	0.26038
10	Ra-226	det2	air	10	90V	62.6nA	2875.97	3.65	206.09	9.42	0.74	0.03	0.26038
