SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
1	Ra-226	det2	vacuum	50	35.6	24.6	4827.69	0.20	79.80	0.50	99.46	0.52	0.97443
1	Ra-226	det2	vacuum	50	35.6	24.6	5354.75	0.29	76.58	0.74	66.07	0.53	0.97370
1	Ra-226	det2	vacuum	50	35.6	24.6	5544.48	0.29	74.37	0.74	96.60	0.53	0.97370
1	Ra-226	det2	vacuum	50	35.6	24.6	6065.32	0.18	72.72	0.44	97.90	0.49	0.97833
1	Ra-226	det2	vacuum	50	35.6	24.6	7768.31	0.17	69.91	0.42	101.63	0.51	0.97869
2	Ra-226	det2	vacuum	60	41.2	24.6	4859.35	0.21	83.61	0.52	94.22	0.49	0.97403
2	Ra-226	det2	vacuum	60	41.2	24.6	5389.63	0.32	84.68	0.82	61.45	0.49	0.97257
2	Ra-226	det2	vacuum	60	41.2	24.6	5581.16	0.32	78.36	0.82	91.76	0.49	0.97257
2	Ra-226	det2	vacuum	60	41.2	24.6	6105.45	0.18	76.25	0.44	93.06	0.44	0.97968
2	Ra-226	det2	vacuum	60	41.2	24.6	7819.94	0.19	77.23	0.48	92.28	0.48	0.97577
3	Ra-226	det2	vacuum	70	46.7	24.6	4860.61	0.24	87.89	0.60	92.07	0.52	0.96793
3	Ra-226	det2	vacuum	70	46.7	24.6	5391.21	0.34	87.19	0.86	59.82	0.49	0.96986
3	Ra-226	det2	vacuum	70	46.7	24.6	5581.77	0.34	83.11	0.86	86.84	0.49	0.96986
3	Ra-226	det2	vacuum	70	46.7	24.6	6106.12	0.19	82.91	0.48	87.08	0.42	0.97854
3	Ra-226	det2	vacuum	70	46.7	24.6	7821.57	0.20	80.48	0.49	89.92	0.46	0.97604
4	Ra-226	det2	vacuum	80	52.2	24.6	4857.86	0.23	90.58	0.58	88.39	0.47	0.97156
4	Ra-226	det2	vacuum	80	52.2	24.6	5388.41	0.37	92.90	0.93	56.16	0.47	0.96856
4	Ra-226	det2	vacuum	80	52.2	24.6	5579.07	0.37	86.24	0.93	83.06	0.47	0.96856
4	Ra-226	det2	vacuum	80	52.2	24.6	6103.11	0.21	87.24	0.54	82.87	0.42	0.97494
4	Ra-226	det2	vacuum	80	52.2	24.6	7818.10	0.21	86.41	0.52	83.97	0.42	0.97547
5	Ra-226	det2	vacuum	90	57.7	24.6	4854.24	0.24	95.10	0.61	84.30	0.45	0.97021
5	Ra-226	det2	vacuum	90	57.7	24.6	5384.88	0.38	96.15	0.95	55.20	0.46	0.96679
5	Ra-226	det2	vacuum	90	57.7	24.6	5575.78	0.38	91.54	0.95	77.65	0.46	0.96679
5	Ra-226	det2	vacuum	90	57.7	24.6	6098.69	0.22	91.35	0.55	79.08	0.39	0.97511
5	Ra-226	det2	vacuum	90	57.7	24.6	7812.45	0.20	90.43	0.52	81.58	0.39	0.97754
6	Ra-226	det2	vacuum	100	63.4	24.6	4850.24	0.26	99.19	0.66	80.87	0.44	0.96755
6	Ra-226	det2	vacuum	100	63.4	24.6	5380.40	0.42	101.80	1.07	52.61	0.46	0.96299
6	Ra-226	det2	vacuum	100	63.4	24.6	5570.11	0.42	96.98	1.07	75.51	0.46	0.96299
6	Ra-226	det2	vacuum	100	63.4	24.6	6094.16	0.24	95.07	0.59	76.14	0.39	0.97253
6	Ra-226	det2	vacuum	100	63.4	24.6	7806.98	0.23	94.97	0.57	77.46	0.39	0.97434
7	Ra-226	det2	vacuum	120	74.8	24.6	4842.62	0.29	109.54	0.72	74.67	0.41	0.96554
7	Ra-226	det2	vacuum	120	74.8	24.6	5371.94	0.45	105.73	1.14	49.29	0.44	0.96251
7	Ra-226	det2	vacuum	120	74.8	24.6	5562.00	0.45	103.93	1.14	70.96	0.44	0.96251
7	Ra-226	det2	vacuum	120	74.8	24.6	6084.30	0.26	105.01	0.65	69.20	0.36	0.97073
7	Ra-226	det2	vacuum	120	74.8	24.6	7793.23	0.25	104.27	0.62	70.60	0.35	0.97282
8	Ra-226	det2	vacuum	200	124.2	24.6	4797.74	0.68	140.61	1.73	55.17	0.56	0.86322
8	Ra-226	det2	vacuum	200	124.2	24.6	5326.96	2.53	133.23	6.32	32.97	1.03	0.63559
8	Ra-226	det2	vacuum	200	124.2	24.6	5509.99	2.53	126.42	6.32	48.82	1.03	0.63559
8	Ra-226	det2	vacuum	200	124.2	24.6	6029.85	2.53	121.74	6.32	48.39	1.03	0.63559
8	Ra-226	det2	vacuum	200	124.2	24.6	7722.29	0.37	144.01	0.96	52.49	0.28	0.96419
