SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
201	Ra-226	det2+135.7ohm	vacuum	50	38.5	24.6	4836.96	0.22	82.16	0.54	97.70	0.53	0.97190
201	Ra-226	det2+135.7ohm	vacuum	50	38.5	24.6	5365.37	0.33	81.38	0.83	62.69	0.53	0.97096
201	Ra-226	det2+135.7ohm	vacuum	50	38.5	24.6	5554.26	0.33	75.15	0.83	94.84	0.53	0.97096
201	Ra-226	det2+135.7ohm	vacuum	50	38.5	24.6	6076.01	0.19	76.63	0.47	93.64	0.48	0.97672
201	Ra-226	det2+135.7ohm	vacuum	50	38.5	24.6	7781.73	0.18	75.57	0.44	97.41	0.47	0.97891
202	Ra-226	det2+135.7ohm	vacuum	60	43.7	24.6	4868.87	0.22	86.67	0.55	92.17	0.49	0.97258
202	Ra-226	det2+135.7ohm	vacuum	60	43.7	24.6	5399.62	0.31	85.50	0.79	60.56	0.47	0.97307
202	Ra-226	det2+135.7ohm	vacuum	60	43.7	24.6	5590.67	0.31	82.68	0.79	86.21	0.47	0.97307
202	Ra-226	det2+135.7ohm	vacuum	60	43.7	24.6	6115.74	0.19	80.88	0.49	88.26	0.44	0.97711
202	Ra-226	det2+135.7ohm	vacuum	60	43.7	24.6	7832.93	0.20	81.35	0.50	89.95	0.46	0.97591
203	Ra-226	det2+135.7ohm	vacuum	70	48.8	24.6	4867.53	0.22	89.78	0.56	89.32	0.46	0.97306
203	Ra-226	det2+135.7ohm	vacuum	70	48.8	24.6	5400.54	0.35	88.56	0.87	57.92	0.48	0.96920
203	Ra-226	det2+135.7ohm	vacuum	70	48.8	24.6	5591.27	0.35	87.67	0.87	81.76	0.48	0.96920
203	Ra-226	det2+135.7ohm	vacuum	70	48.8	24.6	6115.79	0.20	86.53	0.51	82.98	0.40	0.97741
203	Ra-226	det2+135.7ohm	vacuum	70	48.8	24.6	7833.66	0.20	85.36	0.50	86.74	0.43	0.97691
204	Ra-226	det2+135.7ohm	vacuum	80	53.7	24.6	4864.72	0.23	93.00	0.59	85.21	0.45	0.97140
204	Ra-226	det2+135.7ohm	vacuum	80	53.7	24.6	5396.72	0.37	95.76	0.94	54.93	0.45	0.96952
204	Ra-226	det2+135.7ohm	vacuum	80	53.7	24.6	5586.34	0.37	88.84	0.94	81.78	0.45	0.96952
204	Ra-226	det2+135.7ohm	vacuum	80	53.7	24.6	6110.93	0.22	90.08	0.56	80.57	0.41	0.97389
