SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
000	Gen	nodet	nosource	0	0	24.8	4912.44	0.13	30.69	0.31	426.98	3.67	0.95697
000	Gen	nodet	nosource	100	0	24.8	4912.40	0.12	29.92	0.29	416.79	3.47	0.95985
01	Gen	det2	nosource	0	0	24.8	4948.71	0.04	29.16	0.09	466.91	1.16	0.99647
02	Gen	det2	nosource	10	11.5	24.8	4929.45	0.02	20.04	0.05	716.50	1.62	0.99731
03	Gen	det2	nosource	20	26.4	24.8	4925.53	0.04	32.60	0.09	442.76	0.99	0.99705
04	Gen	det2	nosource	30	44.9	24.8	4924.84	0.07	51.11	0.17	282.92	0.78	0.99466
05	Gen	det2	nosource	40	66.3	24.8	4923.10	0.12	73.21	0.29	196.84	0.65	0.99059
06	Gen	det2	nosource	50	89.7	24.8	4922.44	0.15	97.58	0.39	147.74	0.49	0.98843
07	Gen	det2	nosource	60	115.5	24.8	4921.97	0.21	121.56	0.52	118.22	0.42	0.98413
08	Gen	det2	nosource	70	144.6	24.8	4921.33	0.24	151.01	0.61	95.66	0.32	0.98282
09	Gen	det2	nosource	80	177.3	24.8	4920.19	0.32	182.61	0.81	78.95	0.29	0.97599
10	Gen	det2	nosource	90	212.5	24.8	4920.11	0.37	217.08	0.94	66.63	0.24	0.97302
11	Gen	det2	nosource	100	251.8	24.8	4921.65	0.42	249.64	1.09	57.69	0.21	0.96910
12	Gen	det2	nosource	120	340.5	24.8	4919.83	0.57	331.07	1.46	43.46	0.16	0.95883
13	Gen	det2	nosource	140	442.7	24.8	4917.94	0.74	428.46	1.90	33.85	0.12	0.94776
14	Gen	det2	nosource	160	550	24.8	4919.17	0.94	526.19	2.43	27.44	0.10	0.93193
15	Gen	det2	nosource	180	666	24.8	4916.86	1.10	625.85	2.83	22.98	0.08	0.92272
16	Gen	det2	nosource	200	786	24.8	4914.01	1.28	744.06	3.29	19.41	0.07	0.91331
