SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det3	vacuum	0	0.05	24.0	3338.30	1.82	80.55	4.92	11.70	0.57	0.97821
01	Ra-226	det3	vacuum	0	0.05	24.0	3450.69	1.82	51.22	4.92	110.31	0.57	0.97821
01	Ra-226	det3	vacuum	0	0.05	24.0	3806.37	0.24	45.29	0.61	75.49	0.84	0.97149
01	Ra-226	det3	vacuum	0	0.05	24.0	3931.43	0.24	42.56	0.61	107.89	0.84	0.97149
01	Ra-226	det3	vacuum	0	0.05	24.0	4270.83	0.16	44.22	0.41	101.38	0.78	0.97402
01	Ra-226	det3	vacuum	0	0.05	24.0	5285.92	0.25	77.75	0.64	63.05	0.42	0.96846
02	Ra-226	det3	vacuum	10	0.71	24.0	4538.46	3.31	134.62	9.38	7.97	0.41	0.96632
02	Ra-226	det3	vacuum	10	0.71	24.0	4693.65	3.31	70.36	9.38	79.69	0.41	0.96632
02	Ra-226	det3	vacuum	10	0.71	24.0	5209.28	0.35	63.75	0.88	52.10	0.59	0.96145
02	Ra-226	det3	vacuum	10	0.71	24.0	5393.98	0.35	59.47	0.88	76.99	0.59	0.96145
02	Ra-226	det3	vacuum	10	0.71	24.0	5904.38	0.21	56.07	0.55	79.38	0.63	0.96605
02	Ra-226	det3	vacuum	10	0.71	24.0	7569.16	0.21	52.27	0.54	85.56	0.73	0.96399
03	Ra-226	det3	vacuum	20	1.21	24.0	4614.31	3.29	129.77	9.12	7.49	0.41	0.96441
03	Ra-226	det3	vacuum	20	1.21	24.0	4774.31	3.29	70.99	9.12	77.63	0.41	0.96441
03	Ra-226	det3	vacuum	20	1.21	24.0	5299.53	0.35	64.44	0.88	52.03	0.59	0.96247
03	Ra-226	det3	vacuum	20	1.21	24.0	5489.22	0.35	59.08	0.88	78.73	0.59	0.96247
03	Ra-226	det3	vacuum	20	1.21	24.0	6008.01	0.22	57.35	0.55	79.49	0.63	0.96654
03	Ra-226	det3	vacuum	20	1.21	24.0	7704.23	0.22	52.38	0.55	85.05	0.73	0.96276
04	Ra-226	det3	vacuum	30	1.72	24.0	4643.68	2.95	128.23	8.17	7.96	0.40	0.96762
04	Ra-226	det3	vacuum	30	1.72	24.0	4809.35	2.95	70.83	8.17	79.03	0.40	0.96762
04	Ra-226	det3	vacuum	30	1.72	24.0	5339.41	0.35	64.22	0.88	50.45	0.57	0.96033
04	Ra-226	det3	vacuum	30	1.72	24.0	5530.66	0.35	60.40	0.88	73.25	0.57	0.96033
04	Ra-226	det3	vacuum	30	1.72	24.0	6054.54	0.21	56.92	0.53	79.75	0.62	0.96794
04	Ra-226	det3	vacuum	30	1.72	24.0	7762.74	0.21	53.24	0.53	84.41	0.69	0.96638
05	Ra-226	det3	vacuum	40	2.23	24.0	4668.88	3.05	137.56	8.57	8.43	0.40	0.96572
