SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det3n	vacuum	0	0.07	23.6	3329.61	2.34	66.72	6.10	5.67	0.43	0.95610
01	Ra-226	det3n	vacuum	0	0.07	23.6	3443.97	2.34	45.86	6.10	56.64	0.43	0.95610
01	Ra-226	det3n	vacuum	0	0.07	23.6	3799.00	0.25	43.02	0.63	40.88	0.50	0.96066
01	Ra-226	det3n	vacuum	0	0.07	23.6	3923.62	0.25	39.01	0.63	56.64	0.50	0.96066
01	Ra-226	det3n	vacuum	0	0.07	23.6	4259.98	0.18	41.49	0.44	55.32	0.49	0.95686
01	Ra-226	det3n	vacuum	0	0.07	23.6	5267.99	0.27	66.74	0.67	36.12	0.30	0.95131
02	Ra-226	det3n	vacuum	10	0.74	23.6	4536.32	3.45	101.93	9.09	4.11	0.30	0.94473
02	Ra-226	det3n	vacuum	10	0.74	23.6	4694.28	3.45	59.70	9.09	44.72	0.30	0.94473
02	Ra-226	det3n	vacuum	10	0.74	23.6	5212.21	0.37	54.01	0.91	30.46	0.43	0.93974
02	Ra-226	det3n	vacuum	10	0.74	23.6	5396.55	0.37	50.53	0.91	44.16	0.43	0.93974
02	Ra-226	det3n	vacuum	10	0.74	23.6	5906.56	0.22	49.19	0.54	46.06	0.42	0.95061
02	Ra-226	det3n	vacuum	10	0.74	23.6	7569.46	0.20	46.84	0.50	49.50	0.44	0.95436
03	Ra-226	det3n	vacuum	20	1.16	23.6	4615.33	3.12	107.54	8.27	4.41	0.28	0.94291
03	Ra-226	det3n	vacuum	20	1.16	23.6	4778.27	3.12	62.46	8.27	41.25	0.28	0.94291
03	Ra-226	det3n	vacuum	20	1.16	23.6	5305.07	0.39	55.62	0.97	28.61	0.42	0.93834
03	Ra-226	det3n	vacuum	20	1.16	23.6	5492.36	0.39	50.50	0.97	43.33	0.42	0.93834
03	Ra-226	det3n	vacuum	20	1.16	23.6	6011.38	0.24	52.13	0.60	44.57	0.43	0.94532
03	Ra-226	det3n	vacuum	20	1.16	23.6	7705.87	0.23	46.72	0.57	46.42	0.48	0.94017
04	Ra-226	det3n	vacuum	40	2.04	23.6	4672.36	3.44	104.88	9.10	4.31	0.31	0.93931
04	Ra-226	det3n	vacuum	40	2.04	23.6	4837.31	3.44	62.11	9.10	43.36	0.31	0.93931
04	Ra-226	det3n	vacuum	40	2.04	23.6	5371.75	0.39	57.11	0.98	29.34	0.42	0.93355
04	Ra-226	det3n	vacuum	40	2.04	23.6	5561.64	0.39	51.29	0.98	41.52	0.42	0.93355
04	Ra-226	det3n	vacuum	40	2.04	23.6	6088.07	0.24	52.67	0.59	42.78	0.40	0.94738
04	Ra-226	det3n	vacuum	40	2.04	23.6	7804.23	0.22	48.47	0.54	47.11	0.44	0.94906
05	Ra-226	det3n	vacuum	60	2.87	23.6	4697.30	3.12	102.84	8.21	4.60	0.30	0.94301
05	Ra-226	det3n	vacuum	60	2.87	23.6	4856.70	3.12	62.29	8.21	43.82	0.30	0.94301
05	Ra-226	det3n	vacuum	60	2.87	23.6	5393.32	0.42	59.02	1.05	28.49	0.42	0.93317
05	Ra-226	det3n	vacuum	60	2.87	23.6	5585.35	0.42	48.86	1.05	44.33	0.42	0.93317
05	Ra-226	det3n	vacuum	60	2.87	23.6	6112.99	0.21	51.86	0.52	44.90	0.38	0.95747
05	Ra-226	det3n	vacuum	60	2.87	23.6	7837.22	0.23	49.94	0.57	46.00	0.44	0.94596
06	Ra-226	det3n	vacuum	80	3.59	23.6	4696.91	4.10	119.05	11.13	3.84	0.29	0.93757
06	Ra-226	det3n	vacuum	80	3.59	23.6	4858.88	4.10	64.15	11.13	41.43	0.29	0.93757
06	Ra-226	det3n	vacuum	80	3.59	23.6	5395.44	0.40	56.00	0.99	28.45	0.42	0.93343
06	Ra-226	det3n	vacuum	80	3.59	23.6	5587.07	0.40	52.49	0.99	41.83	0.42	0.93343
06	Ra-226	det3n	vacuum	80	3.59	23.6	6114.67	0.23	53.16	0.58	43.62	0.40	0.94969
06	Ra-226	det3n	vacuum	80	3.59	23.6	7839.52	0.21	48.81	0.53	48.68	0.44	0.95231
07	Ra-226	det3n	vacuum	100	4.19	23.6	4690.47	3.00	122.01	8.06	4.57	0.24	0.95204
07	Ra-226	det3n	vacuum	100	4.19	23.6	4857.60	3.00	63.59	8.06	42.19	0.24	0.95204
07	Ra-226	det3n	vacuum	100	4.19	23.6	5395.34	0.41	58.00	1.03	27.35	0.40	0.93410
07	Ra-226	det3n	vacuum	100	4.19	23.6	5586.19	0.41	52.17	1.03	41.37	0.40	0.93410
07	Ra-226	det3n	vacuum	100	4.19	23.6	6114.51	0.25	53.18	0.62	42.94	0.41	0.94307
07	Ra-226	det3n	vacuum	100	4.19	23.6	7837.62	0.23	51.22	0.58	45.43	0.43	0.94603
08	Ra-226	det3n	vacuum	120	4.74	23.6	4680.67	2.92	104.67	7.64	4.36	0.26	0.93275
08	Ra-226	det3n	vacuum	120	4.74	23.6	4852.29	2.92	65.72	7.64	35.77	0.26	0.93275
08	Ra-226	det3n	vacuum	120	4.74	23.6	5388.90	0.41	57.53	1.01	25.05	0.37	0.92958
08	Ra-226	det3n	vacuum	120	4.74	23.6	5581.97	0.41	54.43	1.01	34.88	0.37	0.92958
08	Ra-226	det3n	vacuum	120	4.74	23.6	6109.54	0.27	54.80	0.68	38.77	0.40	0.93400
08	Ra-226	det3n	vacuum	120	4.74	23.6	7833.08	0.23	51.80	0.58	40.98	0.38	0.94694
09	Ra-226	det3n	vacuum	140	5.30	23.6	4682.50	4.02	125.34	10.93	3.50	0.25	0.93193
09	Ra-226	det3n	vacuum	140	5.30	23.6	4848.38	4.02	63.75	10.93	35.08	0.25	0.93193
09	Ra-226	det3n	vacuum	140	5.30	23.6	5385.43	0.41	58.11	1.03	25.04	0.37	0.92867
09	Ra-226	det3n	vacuum	140	5.30	23.6	5576.29	0.41	51.76	1.03	35.65	0.37	0.92867
09	Ra-226	det3n	vacuum	140	5.30	23.6	6105.46	0.29	53.45	0.73	35.65	0.40	0.92289
09	Ra-226	det3n	vacuum	140	5.30	23.6	7827.76	0.25	51.57	0.62	39.34	0.40	0.93836
10	Ra-226	det3n	vacuum	160	5.86	23.6	4678.89	2.91	100.18	7.62	4.16	0.26	0.93750
10	Ra-226	det3n	vacuum	160	5.86	23.6	4845.59	2.91	63.40	7.62	35.90	0.26	0.93750
10	Ra-226	det3n	vacuum	160	5.86	23.6	5381.80	0.42	59.31	1.06	24.60	0.37	0.92697
10	Ra-226	det3n	vacuum	160	5.86	23.6	5573.43	0.42	52.44	1.06	34.92	0.37	0.92697
10	Ra-226	det3n	vacuum	160	5.86	23.6	6101.01	0.26	55.30	0.64	36.07	0.35	0.94256
10	Ra-226	det3n	vacuum	160	5.86	23.6	7823.34	0.26	50.76	0.66	40.32	0.43	0.93093
11	Ra-226	det3n	vacuum	180	6.67	23.6	4672.35	2.91	104.67	7.64	4.22	0.25	0.93573
11	Ra-226	det3n	vacuum	180	6.67	23.6	4841.63	2.91	63.23	7.64	35.39	0.25	0.93573
11	Ra-226	det3n	vacuum	180	6.67	23.6	5377.87	0.47	61.26	1.17	23.09	0.37	0.92490
11	Ra-226	det3n	vacuum	180	6.67	23.6	5569.26	0.47	54.21	1.17	35.92	0.37	0.92490
11	Ra-226	det3n	vacuum	180	6.67	23.6	6096.28	0.28	54.93	0.70	36.14	0.39	0.93036
11	Ra-226	det3n	vacuum	180	6.67	23.6	7816.78	0.28	52.17	0.71	40.20	0.45	0.92369
12	Ra-226	det3n	vacuum	200	7.10	23.6	4669.02	2.91	103.47	7.62	4.39	0.27	0.93071
12	Ra-226	det3n	vacuum	200	7.10	23.6	4836.99	2.91	66.68	7.62	34.93	0.27	0.93071
12	Ra-226	det3n	vacuum	200	7.10	23.6	5372.55	0.45	62.37	1.13	23.29	0.35	0.92499
12	Ra-226	det3n	vacuum	200	7.10	23.6	5563.53	0.45	53.79	1.13	33.85	0.35	0.92499
12	Ra-226	det3n	vacuum	200	7.10	23.6	6090.63	0.28	55.70	0.71	36.05	0.38	0.93048
12	Ra-226	det3n	vacuum	200	7.10	23.6	7807.65	0.27	55.83	0.67	39.68	0.40	0.93758
