SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det3	10us	40	1.46	22.4	4852.13	0.39	65.90	0.97	20.94	0.26	0.87948
01	Ra-226	det3	10us	40	1.46	22.4	5381.51	0.58	62.25	1.44	13.30	0.26	0.87866
01	Ra-226	det3	10us	40	1.46	22.4	5570.25	0.58	57.28	1.44	20.47	0.26	0.87866
01	Ra-226	det3	10us	40	1.46	22.4	6092.83	0.28	53.63	0.69	21.57	0.23	0.91319
01	Ra-226	det3	10us	40	1.46	22.4	7795.54	0.30	51.55	0.74	21.54	0.26	0.89320
02	Ra-226	det3	10us	60	2.05	22.4	4870.66	0.42	67.88	1.04	19.31	0.25	0.86998
02	Ra-226	det3	10us	60	2.05	22.4	5402.78	0.49	59.70	1.21	14.26	0.24	0.89401
02	Ra-226	det3	10us	60	2.05	22.4	5592.80	0.49	57.79	1.21	19.70	0.24	0.89401
02	Ra-226	det3	10us	60	2.05	22.4	6116.56	0.31	57.19	0.76	20.13	0.22	0.90730
02	Ra-226	det3	10us	60	2.05	22.4	7826.63	0.25	51.15	0.61	22.83	0.23	0.92413
03	Ra-226	det3	10us	80	2.64	22.4	4870.18	0.40	66.01	0.99	20.04	0.25	0.87603
03	Ra-226	det3	10us	80	2.64	22.4	5400.83	0.54	61.33	1.34	14.05	0.26	0.88360
03	Ra-226	det3	10us	80	2.64	22.4	5592.36	0.54	55.65	1.34	20.65	0.26	0.88360
03	Ra-226	det3	10us	80	2.64	22.4	6116.16	0.33	57.40	0.83	20.50	0.25	0.89244
03	Ra-226	det3	10us	80	2.64	22.4	7826.64	0.26	51.70	0.64	23.01	0.24	0.91910
04	Ra-226	det3	10us	100	3.02	22.4	4869.94	0.41	68.48	1.02	19.35	0.24	0.87518
04	Ra-226	det3	10us	100	3.02	22.4	5402.44	0.51	58.58	1.25	14.24	0.25	0.88777
04	Ra-226	det3	10us	100	3.02	22.4	5591.51	0.51	56.23	1.25	20.26	0.25	0.88777
04	Ra-226	det3	10us	100	3.02	22.4	6116.30	0.27	56.18	0.66	20.64	0.20	0.92650
04	Ra-226	det3	10us	100	3.02	22.4	7825.54	0.29	53.58	0.72	22.11	0.25	0.90479
05	Ra-226	det3	10us	120	3.35	22.4	4867.89	0.43	67.28	1.06	19.53	0.26	0.86522
05	Ra-226	det3	10us	120	3.35	22.4	5400.49	0.53	61.32	1.31	13.85	0.25	0.88442
05	Ra-226	det3	10us	120	3.35	22.4	5589.61	0.53	57.36	1.31	19.74	0.25	0.88442
05	Ra-226	det3	10us	120	3.35	22.4	6113.44	0.31	54.33	0.75	21.62	0.25	0.89993
05	Ra-226	det3	10us	120	3.35	22.4	7824.35	0.30	50.73	0.73	22.88	0.28	0.89380
06	Ra-226	det3	10us	160	3.85	22.4	4862.55	0.40	69.20	1.01	20.73	0.25	0.88218
06	Ra-226	det3	10us	160	3.85	22.4	5392.29	0.57	62.74	1.40	13.32	0.25	0.88257
06	Ra-226	det3	10us	160	3.85	22.4	5582.79	0.57	56.60	1.40	20.25	0.25	0.88257
06	Ra-226	det3	10us	160	3.85	22.4	6106.35	0.28	55.86	0.69	20.85	0.22	0.91860
06	Ra-226	det3	10us	160	3.85	22.4	7813.46	0.29	53.91	0.71	21.77	0.24	0.90960
07	Ra-226	det3	10us	200	4.37	22.4	4855.09	0.39	67.43	0.97	19.74	0.24	0.88496
07	Ra-226	det3	10us	200	4.37	22.4	5384.67	0.61	65.49	1.51	13.27	0.26	0.87283
07	Ra-226	det3	10us	200	4.37	22.4	5574.16	0.61	57.97	1.51	20.19	0.26	0.87283
07	Ra-226	det3	10us	200	4.37	22.4	6096.66	0.29	57.02	0.71	20.29	0.21	0.91530
07	Ra-226	det3	10us	200	4.37	22.4	7800.20	0.25	52.90	0.63	23.09	0.23	0.92581
