Пик,Напряжение (В),Энергия (кэВ),ΔЭнергия (кэВ)
"4870,62 кэВ",40,4848.13,0.37
"4870,62 кэВ",50,4861.51,0.41
"4870,62 кэВ",60,4864.94,0.41
"4870,62 кэВ",70,4865.01,0.4
"4870,62 кэВ",80,4864.12,0.4
"4870,62 кэВ",90,4864.24,0.36
"4870,62 кэВ",100,4863.52,0.42
"4870,62 кэВ",110,4861.38,0.38
"4870,62 кэВ",120,4861.43,0.37
"4870,62 кэВ",140,4857.04,0.4
"4870,62 кэВ",160,4856.27,0.4
"4870,62 кэВ",200,4848.65,0.39
"4870,62 кэВ",250,4837.33,0.37
"4870,62 кэВ",300,4817.91,0.38
"4870,62 кэВ",350,4799.7,0.39
"4870,62 кэВ",400,4779.16,0.43
"5407,45 кэВ",40,5377.08,0.51
"5407,45 кэВ",50,5393.86,0.51
"5407,45 кэВ",60,5398.24,0.57
"5407,45 кэВ",70,5396.48,0.52
"5407,45 кэВ",80,5395.96,0.54
"5407,45 кэВ",90,5396.39,0.53
"5407,45 кэВ",100,5393.9,0.58
"5407,45 кэВ",110,5394.94,0.52
"5407,45 кэВ",120,5392.22,0.5
"5407,45 кэВ",140,5390.07,0.56
"5407,45 кэВ",160,5385.53,0.5
"5407,45 кэВ",200,5379.32,0.57
"5407,45 кэВ",250,5365.65,0.52
"5407,45 кэВ",300,5345.5,0.55
"5407,45 кэВ",350,5323.18,0.57
"5407,45 кэВ",400,5299.58,0.61
"5590,3 кэВ",40,5566.99,0.51
"5590,3 кэВ",50,5582.5,0.51
"5590,3 кэВ",60,5587.44,0.57
"5590,3 кэВ",70,5587.77,0.52
"5590,3 кэВ",80,5586.28,0.54
"5590,3 кэВ",90,5587.48,0.53
"5590,3 кэВ",100,5585.94,0.58
"5590,3 кэВ",110,5584.56,0.52
"5590,3 кэВ",120,5581.85,0.5
"5590,3 кэВ",140,5580.73,0.56
"5590,3 кэВ",160,5576.02,0.5
"5590,3 кэВ",200,5568.97,0.57
"5590,3 кэВ",250,5553.87,0.52
"5590,3 кэВ",300,5533.21,0.55
"5590,3 кэВ",350,5509.84,0.57
"5590,3 кэВ",400,5485.31,0.61
"6114,68 кэВ",40,6087.82,0.34
"6114,68 кэВ",50,6105.34,0.3
"6114,68 кэВ",60,6111.15,0.28
"6114,68 кэВ",70,6110.98,0.28
"6114,68 кэВ",80,6110.69,0.31
"6114,68 кэВ",90,6109.26,0.28
"6114,68 кэВ",100,6109.09,0.28
"6114,68 кэВ",110,6107.37,0.3
"6114,68 кэВ",120,6105.03,0.33
"6114,68 кэВ",140,6103.62,0.27
"6114,68 кэВ",160,6099.03,0.28
"6114,68 кэВ",200,6090.42,0.29
"6114,68 кэВ",250,6073.36,0.31
"6114,68 кэВ",300,6052.15,0.29
"6114,68 кэВ",350,6025.29,0.28
"6114,68 кэВ",400,5996.76,0.32
"7833,46 кэВ",40,7790.35,0.25
"7833,46 кэВ",50,7814.19,0.26
"7833,46 кэВ",60,7821.32,0.26
"7833,46 кэВ",70,7821.07,0.28
"7833,46 кэВ",80,7820.92,0.28
"7833,46 кэВ",90,7820.28,0.27
"7833,46 кэВ",100,7819.28,0.29
"7833,46 кэВ",110,7816.41,0.28
"7833,46 кэВ",120,7814.03,0.29
"7833,46 кэВ",140,7811.04,0.25
"7833,46 кэВ",160,7807.14,0.24
"7833,46 кэВ",200,7795.69,0.28
"7833,46 кэВ",250,7775.12,0.27
"7833,46 кэВ",300,7745.33,0.25
"7833,46 кэВ",350,7711.05,0.27
"7833,46 кэВ",400,7670.53,0.27
