SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det3	10us	40	1.43	22.0	4848.13	0.37	63.38	0.91	19.31	0.23	0.88741
01	Ra-226	det3	10us	40	1.43	22.0	5377.08	0.51	57.89	1.25	13.59	0.25	0.88861
01	Ra-226	det3	10us	40	1.43	22.0	5566.99	0.51	55.58	1.25	19.88	0.25	0.88861
01	Ra-226	det3	10us	40	1.43	22.0	6087.82	0.34	53.86	0.83	20.03	0.26	0.87821
01	Ra-226	det3	10us	40	1.43	22.0	7790.35	0.25	48.05	0.61	22.21	0.24	0.91714
02	Ra-226	det3	10us	50	1.80	22.0	4861.51	0.41	65.44	1.02	18.53	0.24	0.86856
02	Ra-226	det3	10us	50	1.80	22.0	5393.86	0.51	56.76	1.25	13.69	0.25	0.88481
02	Ra-226	det3	10us	50	1.80	22.0	5582.50	0.51	55.64	1.25	19.68	0.25	0.88481
02	Ra-226	det3	10us	50	1.80	22.0	6105.34	0.30	54.72	0.74	19.64	0.22	0.90533
02	Ra-226	det3	10us	50	1.80	22.0	7814.19	0.26	49.60	0.63	23.03	0.25	0.91710
03	Ra-226	det3	10us	60	2.07	22.0	4864.94	0.41	65.41	1.01	18.98	0.24	0.87119
03	Ra-226	det3	10us	60	2.07	22.0	5398.24	0.57	64.48	1.41	13.06	0.24	0.88134
03	Ra-226	det3	10us	60	2.07	22.0	5587.44	0.57	53.26	1.41	19.74	0.24	0.88134
03	Ra-226	det3	10us	60	2.07	22.0	6111.15	0.28	50.56	0.70	20.80	0.24	0.90231
03	Ra-226	det3	10us	60	2.07	22.0	7821.32	0.26	50.49	0.63	21.21	0.22	0.91802
04	Ra-226	det3	10us	70	2.36	22.0	4865.01	0.40	65.51	1.00	18.04	0.23	0.87317
04	Ra-226	det3	10us	70	2.36	22.0	5396.48	0.52	56.82	1.28	13.27	0.25	0.87457
04	Ra-226	det3	10us	70	2.36	22.0	5587.77	0.52	53.14	1.28	18.92	0.25	0.87457
04	Ra-226	det3	10us	70	2.36	22.0	6110.98	0.28	53.75	0.68	19.71	0.21	0.91512
04	Ra-226	det3	10us	70	2.36	22.0	7821.07	0.28	49.78	0.70	20.66	0.24	0.90056
05	Ra-226	det3	10us	80	2.66	22.0	4864.12	0.40	67.36	1.00	18.03	0.22	0.87776
05	Ra-226	det3	10us	80	2.66	22.0	5395.96	0.54	60.23	1.32	13.54	0.25	0.88463
05	Ra-226	det3	10us	80	2.66	22.0	5586.28	0.54	52.55	1.32	20.50	0.25	0.88463
05	Ra-226	det3	10us	80	2.66	22.0	6110.69	0.31	53.64	0.76	20.00	0.24	0.89699
05	Ra-226	det3	10us	80	2.66	22.0	7820.92	0.28	49.80	0.68	21.73	0.25	0.90507
06	Ra-226	det3	10us	90	2.87	22.0	4864.24	0.36	64.48	0.90	19.30	0.22	0.89212
06	Ra-226	det3	10us	90	2.87	22.0	5396.39	0.53	57.83	1.30	13.86	0.26	0.87268
06	Ra-226	det3	10us	90	2.87	22.0	5587.48	0.53	54.77	1.30	19.42	0.26	0.87268
06	Ra-226	det3	10us	90	2.87	22.0	6109.26	0.28	53.81	0.69	19.88	0.21	0.91328
06	Ra-226	det3	10us	90	2.87	22.0	7820.28	0.27	49.93	0.67	22.19	0.25	0.90647
07	Ra-226	det3	10us	100	3.07	22.0	4863.52	0.42	65.78	1.04	18.70	0.25	0.86362
07	Ra-226	det3	10us	100	3.07	22.0	5393.90	0.58	64.52	1.43	12.37	0.23	0.88784
07	Ra-226	det3	10us	100	3.07	22.0	5585.94	0.58	57.97	1.43	19.53	0.23	0.88784
07	Ra-226	det3	10us	100	3.07	22.0	6109.09	0.28	54.83	0.70	20.71	0.22	0.91430
07	Ra-226	det3	10us	100	3.07	22.0	7819.28	0.29	51.83	0.70	21.54	0.25	0.90522
08	Ra-226	det3	10us	110	3.27	22.0	4861.38	0.38	64.98	0.95	18.95	0.23	0.88163
08	Ra-226	det3	10us	110	3.27	22.0	5394.94	0.52	60.95	1.29	12.99	0.23	0.89534
08	Ra-226	det3	10us	110	3.27	22.0	5584.56	0.52	54.53	1.29	20.02	0.23	0.89534
08	Ra-226	det3	10us	110	3.27	22.0	6107.37	0.30	53.94	0.73	20.40	0.23	0.90473
08	Ra-226	det3	10us	110	3.27	22.0	7816.41	0.28	53.22	0.69	20.35	0.22	0.91199
09	Ra-226	det3	10us	120	3.45	22.0	4861.43	0.37	63.13	0.91	19.67	0.24	0.88539
09	Ra-226	det3	10us	120	3.45	22.0	5392.22	0.50	58.36	1.24	13.65	0.24	0.88575
09	Ra-226	det3	10us	120	3.45	22.0	5581.85	0.50	56.08	1.24	19.12	0.24	0.88575
09	Ra-226	det3	10us	120	3.45	22.0	6105.03	0.33	55.49	0.82	18.93	0.23	0.88688
09	Ra-226	det3	10us	120	3.45	22.0	7814.03	0.29	52.22	0.70	21.30	0.24	0.90633
10	Ra-226	det3	10us	140	3.75	22.0	4857.04	0.40	64.34	0.99	18.35	0.24	0.87003
10	Ra-226	det3	10us	140	3.75	22.0	5390.07	0.56	61.66	1.38	13.29	0.25	0.86641
10	Ra-226	det3	10us	140	3.75	22.0	5580.73	0.56	59.24	1.38	17.70	0.25	0.86641
10	Ra-226	det3	10us	140	3.75	22.0	6103.62	0.27	51.79	0.66	20.14	0.22	0.91554
10	Ra-226	det3	10us	140	3.75	22.0	7811.04	0.25	50.31	0.62	21.30	0.22	0.91985
11	Ra-226	det3	10us	160	4.04	22.0	4856.27	0.40	67.63	0.99	18.44	0.22	0.88182
11	Ra-226	det3	10us	160	4.04	22.0	5385.53	0.50	59.57	1.23	13.65	0.24	0.89592
11	Ra-226	det3	10us	160	4.04	22.0	5576.02	0.50	56.08	1.23	19.94	0.24	0.89592
11	Ra-226	det3	10us	160	4.04	22.0	6099.03	0.28	53.72	0.69	20.32	0.22	0.91329
11	Ra-226	det3	10us	160	4.04	22.0	7807.14	0.24	50.66	0.58	21.28	0.21	0.92959
12	Ra-226	det3	10us	200	4.56	22.0	4848.65	0.39	63.98	0.97	18.92	0.24	0.87363
12	Ra-226	det3	10us	200	4.56	22.0	5379.32	0.57	62.40	1.42	13.02	0.25	0.87337
12	Ra-226	det3	10us	200	4.56	22.0	5568.97	0.57	55.82	1.42	19.15	0.25	0.87337
12	Ra-226	det3	10us	200	4.56	22.0	6090.42	0.29	55.29	0.72	19.47	0.21	0.91055
12	Ra-226	det3	10us	200	4.56	22.0	7795.69	0.28	53.69	0.68	20.64	0.22	0.91528
13	Ra-226	det3	10us	250	5.22	22.0	4837.33	0.37	67.80	0.93	18.07	0.21	0.89377
13	Ra-226	det3	10us	250	5.22	22.0	5365.65	0.52	61.56	1.28	13.36	0.23	0.89157
13	Ra-226	det3	10us	250	5.22	22.0	5553.87	0.52	56.44	1.28	19.24	0.23	0.89157
13	Ra-226	det3	10us	250	5.22	22.0	6073.36	0.31	54.68	0.77	19.65	0.23	0.89676
13	Ra-226	det3	10us	250	5.22	22.0	7775.12	0.27	50.36	0.66	21.54	0.24	0.91093
14	Ra-226	det3	10us	300	5.92	22.0	4817.91	0.38	65.72	0.94	18.71	0.22	0.88598
14	Ra-226	det3	10us	300	5.92	22.0	5345.50	0.55	58.52	1.36	13.14	0.26	0.87243
14	Ra-226	det3	10us	300	5.92	22.0	5533.21	0.55	57.76	1.36	18.90	0.26	0.87243
14	Ra-226	det3	10us	300	5.92	22.0	6052.15	0.29	54.30	0.72	19.65	0.22	0.90786
14	Ra-226	det3	10us	300	5.92	22.0	7745.33	0.25	49.30	0.62	21.96	0.23	0.91826
15	Ra-226	det3	10us	350	6.68	22.0	4799.70	0.39	66.99	0.96	18.53	0.22	0.88562
15	Ra-226	det3	10us	350	6.68	22.0	5323.18	0.57	63.28	1.42	12.90	0.24	0.88051
15	Ra-226	det3	10us	350	6.68	22.0	5509.84	0.57	58.09	1.42	19.29	0.24	0.88051
15	Ra-226	det3	10us	350	6.68	22.0	6025.29	0.28	54.00	0.68	20.95	0.22	0.91628
15	Ra-226	det3	10us	350	6.68	22.0	7711.05	0.27	52.50	0.66	20.71	0.22	0.91711
16	Ra-226	det3	10us	400	7.62	22.0	4779.16	0.43	68.79	1.08	18.43	0.24	0.86458
16	Ra-226	det3	10us	400	7.62	22.0	5299.58	0.61	64.57	1.51	13.14	0.26	0.86188
16	Ra-226	det3	10us	400	7.62	22.0	5485.31	0.61	57.96	1.51	18.70	0.26	0.86188
16	Ra-226	det3	10us	400	7.62	22.0	5996.76	0.32	57.28	0.78	18.72	0.21	0.90134
16	Ra-226	det3	10us	400	7.62	22.0	7670.53	0.27	50.99	0.67	20.89	0.23	0.90886
