Пик,Напряжение (В),ПШПВ (кэВ),ΔПШПВ (кэВ)
"4870,62 кэВ",40,62.57,0.87
"4870,62 кэВ",50,63.43,0.95
"4870,62 кэВ",60,63.12,0.95
"4870,62 кэВ",70,62.01,0.94
"4870,62 кэВ",80,61.03,0.86
"4870,62 кэВ",90,61.87,0.83
"4870,62 кэВ",100,63.39,1.0
"4870,62 кэВ",110,63.78,0.93
"4870,62 кэВ",120,62.58,0.99
"4870,62 кэВ",140,63.22,0.9
"4870,62 кэВ",160,63.32,0.98
"4870,62 кэВ",200,62.12,0.88
"4870,62 кэВ",250,63.36,1.05
"4870,62 кэВ",300,61.94,0.99
"4870,62 кэВ",350,62.54,0.93
"4870,62 кэВ",400,62.28,0.92
"5407,45 кэВ",40,55.58,1.19
"5407,45 кэВ",50,56.56,1.15
"5407,45 кэВ",60,59.81,1.33
"5407,45 кэВ",70,57.17,1.12
"5407,45 кэВ",80,57.71,1.19
"5407,45 кэВ",90,57.56,1.27
"5407,45 кэВ",100,59.68,1.41
"5407,45 кэВ",110,56.37,1.14
"5407,45 кэВ",120,56.29,1.22
"5407,45 кэВ",140,60.18,1.29
"5407,45 кэВ",160,56.52,1.17
"5407,45 кэВ",200,60.64,1.34
"5407,45 кэВ",250,57.77,1.31
"5407,45 кэВ",300,56.67,1.22
"5407,45 кэВ",350,61.02,1.36
"5407,45 кэВ",400,55.61,1.2
"5590,3 кэВ",40,52.57,1.19
"5590,3 кэВ",50,54.09,1.15
"5590,3 кэВ",60,52.59,1.33
"5590,3 кэВ",70,53.01,1.12
"5590,3 кэВ",80,54.63,1.19
"5590,3 кэВ",90,51.47,1.27
"5590,3 кэВ",100,53.77,1.41
"5590,3 кэВ",110,49.8,1.14
"5590,3 кэВ",120,51.27,1.22
"5590,3 кэВ",140,52.74,1.29
"5590,3 кэВ",160,54.67,1.17
"5590,3 кэВ",200,53.42,1.34
"5590,3 кэВ",250,51.63,1.31
"5590,3 кэВ",300,52.67,1.22
"5590,3 кэВ",350,51.53,1.36
"5590,3 кэВ",400,50.61,1.2
"6114,68 кэВ",40,49.68,0.7
"6114,68 кэВ",50,50.74,0.63
"6114,68 кэВ",60,51.49,0.69
"6114,68 кэВ",70,52.84,0.67
"6114,68 кэВ",80,49.91,0.67
"6114,68 кэВ",90,51.62,0.71
"6114,68 кэВ",100,54.66,0.68
"6114,68 кэВ",110,52.28,0.68
"6114,68 кэВ",120,51.94,0.68
"6114,68 кэВ",140,52.94,0.74
"6114,68 кэВ",160,51.4,0.74
"6114,68 кэВ",200,51.29,0.72
"6114,68 кэВ",250,50.91,0.68
"6114,68 кэВ",300,52.45,0.76
"6114,68 кэВ",350,51.2,0.73
"6114,68 кэВ",400,50.31,0.66
"7833,46 кэВ",40,49.33,0.6
"7833,46 кэВ",50,47.76,0.57
"7833,46 кэВ",60,46.99,0.6
"7833,46 кэВ",70,47.66,0.62
"7833,46 кэВ",80,46.8,0.58
"7833,46 кэВ",90,47.13,0.56
"7833,46 кэВ",100,47.54,0.59
"7833,46 кэВ",110,45.7,0.61
"7833,46 кэВ",120,48.56,0.6
"7833,46 кэВ",140,47.95,0.56
"7833,46 кэВ",160,46.52,0.63
"7833,46 кэВ",200,49.68,0.64
"7833,46 кэВ",250,46.82,0.6
"7833,46 кэВ",300,46.75,0.56
"7833,46 кэВ",350,47.12,0.54
"7833,46 кэВ",400,47.43,0.57
