Пик,Напряжение (В),Нормированная энергия,Нормированная ΔЭнергия
"4870,62 кэВ",40,0.9960280522661472,8.219240007972663e-05
"4870,62 кэВ",50,0.9990013623390314,8.424721008171978e-05
"4870,62 кэВ",60,0.9999301364599322,8.630202008371296e-05
"4870,62 кэВ",70,1.0,8.630202008371296e-05
"4870,62 кэВ",80,0.9995089004095236,9.041164008769929e-05
"4870,62 кэВ",90,0.999436982059454,8.013759007773347e-05
"4870,62 кэВ",100,0.9992725972592944,8.424721008171978e-05
"4870,62 кэВ",110,0.9988328679188678,8.630202008371296e-05
"4870,62 кэВ",120,0.9987773880488141,8.630202008371296e-05
"4870,62 кэВ",140,0.9981095747981663,9.041164008769929e-05
"4870,62 кэВ",160,0.9970760053671637,9.041164008769929e-05
"4870,62 кэВ",200,0.9951054425752524,9.246645008969245e-05
"4870,62 кэВ",250,0.991852678342097,8.835683008570612e-05
"4870,62 кэВ",300,0.9882958022286469,9.452126009168563e-05
"4870,62 кэВ",350,0.984956735975408,9.041164008769929e-05
"4870,62 кэВ",400,0.9809580757115293,8.219240007972663e-05
"5407,45 кэВ",40,0.9959853035084635,0.00012771510277363886
"5407,45 кэВ",50,0.9987135942546713,0.00011660944166288767
"5407,45 кэВ",60,1.0,0.00011105661110751206
"5407,45 кэВ",70,0.9998907943324111,0.0001295660462920974
"5407,45 кэВ",80,0.9996464697879744,0.0001184603851813462
"5407,45 кэВ",90,0.9993040452370597,0.0001184603851813462
"5407,45 кэВ",100,0.9990967395629924,0.0001184603851813462
"5407,45 кэВ",110,0.9987191470852267,0.00010735472407059499
"5407,45 кэВ",120,0.998598835756527,0.00011660944166288767
"5407,45 кэВ",140,0.9977881224954421,0.00011105661110751206
"5407,45 кэВ",160,0.9968719054538051,0.00012586415925518036
"5407,45 кэВ",200,0.9948229109788717,0.00013882076388439007
"5407,45 кэВ",250,0.9915541447252738,0.00012586415925518036
"5407,45 кэВ",300,0.9880169916614995,0.00012586415925518036
"5407,45 кэВ",350,0.9839893385653337,0.00012586415925518036
"5407,45 кэВ",400,0.9804114647441533,0.00012771510277363886
"5590,3 кэВ",40,0.9960980878484585,0.00012338768948504415
"5590,3 кэВ",50,0.9991344979462208,0.00011265832518199684
"5590,3 кэВ",60,1.0,0.00010729364303047318
"5590,3 кэВ",70,0.9999141650855755,0.00012517591686888536
"5590,3 кэВ",80,0.9996548721149185,0.00011444655256583806
"5590,3 кэВ",90,0.9997907773960906,0.00011444655256583806
"5590,3 кэВ",100,0.9990289925305742,0.00011444655256583806
"5590,3 кэВ",110,0.9989485222983013,0.00010371718826279073
"5590,3 кэВ",120,0.998388807127159,0.00011265832518199684
"5590,3 кэВ",140,0.997995397102714,0.00010729364303047318
"5590,3 кэВ",160,0.9967954965281565,0.00012159946210120295
"5590,3 кэВ",200,0.9946353178484764,0.00013411705378809147
"5590,3 кэВ",250,0.9920441763692904,0.00012159946210120295
"5590,3 кэВ",300,0.9881422642177488,0.00012159946210120295
"5590,3 кэВ",350,0.9844531511248843,0.00012159946210120295
"5590,3 кэВ",400,0.9805905799757874,0.00012338768948504415
"6114,68 кэВ",40,0.995964189331664,5.3941576369012695e-05
"6114,68 кэВ",50,0.9991009737271831,5.557616959231611e-05
"6114,68 кэВ",60,0.9999035589998252,5.3941576369012695e-05
"6114,68 кэВ",70,1.0,5.8845356038922936e-05
"6114,68 кэВ",80,0.999692696474019,5.721076281561952e-05
"6114,68 кэВ",90,0.9995030836601158,5.8845356038922936e-05
"6114,68 кэВ",100,0.9991173196594162,5.721076281561952e-05
"6114,68 кэВ",110,0.9989097263200568,5.557616959231611e-05
"6114,68 кэВ",120,0.9985255969125804,6.0479949262226355e-05
"6114,68 кэВ",140,0.9979502200979775,6.374913570883318e-05
"6114,68 кэВ",160,0.9970953278421899,5.557616959231611e-05
"6114,68 кэВ",200,0.995048817126614,6.0479949262226355e-05
"6114,68 кэВ",250,0.9918482835953859,6.211454248552977e-05
"6114,68 кэВ",300,0.9881279494191474,6.701832215544001e-05
"6114,68 кэВ",350,0.9844255957683651,6.701832215544001e-05
"6114,68 кэВ",400,0.9802541138624948,6.701832215544001e-05
"7833,46 кэВ",40,0.9960187790071328,4.212256901719112e-05
"7833,46 кэВ",50,0.9990043756414119,4.212256901719112e-05
"7833,46 кэВ",60,1.0,4.0846127531821686e-05
"7833,46 кэВ",70,0.9999093726545387,4.467545198792997e-05
"7833,46 кэВ",80,0.9997919400378847,4.467545198792997e-05
"7833,46 кэВ",90,0.9997038655753944,3.829324456108283e-05
"7833,46 кэВ",100,0.9993196566882981,4.339901050256055e-05
"7833,46 кэВ",110,0.9990567097423121,4.9781217929407684e-05
"7833,46 кэВ",120,0.9986163374298596,4.467545198792997e-05
"7833,46 кэВ",140,0.9977879269058548,4.467545198792997e-05
"7833,46 кэВ",160,0.997131835982375,4.850477644403826e-05
"7833,46 кэВ",200,0.9948278591012831,4.5951893473299396e-05
"7833,46 кэВ",250,0.991579315521018,4.339901050256055e-05
"7833,46 кэВ",300,0.9880257024257495,4.467545198792997e-05
"7833,46 кэВ",350,0.9837228181785691,4.722833495866882e-05
"7833,46 кэВ",400,0.979662457813609,4.467545198792997e-05
