Пик,Напряжение (В),Амплитуда,ΔАмплитуда
"4870,62 кэВ",40,19.41,0.24
"4870,62 кэВ",50,19.2,0.25
"4870,62 кэВ",60,19.67,0.23
"4870,62 кэВ",70,19.88,0.22
"4870,62 кэВ",80,19.6,0.24
"4870,62 кэВ",90,19.2,0.23
"4870,62 кэВ",100,19.88,0.25
"4870,62 кэВ",110,19.59,0.23
"4870,62 кэВ",120,19.67,0.26
"4870,62 кэВ",140,19.72,0.24
"4870,62 кэВ",160,19.45,0.23
"4870,62 кэВ",200,19.32,0.22
"4870,62 кэВ",250,19.13,0.24
"4870,62 кэВ",300,18.49,0.22
"4870,62 кэВ",350,19.42,0.26
"4870,62 кэВ",400,19.21,0.24
"5407,45 кэВ",40,13.57,0.26
"5407,45 кэВ",50,13.02,0.25
"5407,45 кэВ",60,13.86,0.25
"5407,45 кэВ",70,14.17,0.26
"5407,45 кэВ",80,12.98,0.22
"5407,45 кэВ",90,13.96,0.25
"5407,45 кэВ",100,13.65,0.25
"5407,45 кэВ",110,14.68,0.26
"5407,45 кэВ",120,13.75,0.26
"5407,45 кэВ",140,13.9,0.25
"5407,45 кэВ",160,13.65,0.23
"5407,45 кэВ",200,14.45,0.27
"5407,45 кэВ",250,14.24,0.24
"5407,45 кэВ",300,14.59,0.27
"5407,45 кэВ",350,13.47,0.24
"5407,45 кэВ",400,13.3,0.25
"5590,3 кэВ",40,20.93,0.26
"5590,3 кэВ",50,21.1,0.25
"5590,3 кэВ",60,20.19,0.25
"5590,3 кэВ",70,20.54,0.26
"5590,3 кэВ",80,19.87,0.22
"5590,3 кэВ",90,19.61,0.25
"5590,3 кэВ",100,21.03,0.25
"5590,3 кэВ",110,20.19,0.26
"5590,3 кэВ",120,19.93,0.26
"5590,3 кэВ",140,19.59,0.25
"5590,3 кэВ",160,20.55,0.23
"5590,3 кэВ",200,19.85,0.27
"5590,3 кэВ",250,20.5,0.24
"5590,3 кэВ",300,20.48,0.27
"5590,3 кэВ",350,20.01,0.24
"5590,3 кэВ",400,20.96,0.25
"6114,68 кэВ",40,20.97,0.24
"6114,68 кэВ",50,20.77,0.24
"6114,68 кэВ",60,20.81,0.22
"6114,68 кэВ",70,21.52,0.23
"6114,68 кэВ",80,20.54,0.24
"6114,68 кэВ",90,20.45,0.22
"6114,68 кэВ",100,20.03,0.22
"6114,68 кэВ",110,20.41,0.25
"6114,68 кэВ",120,21.35,0.23
"6114,68 кэВ",140,20.76,0.24
"6114,68 кэВ",160,20.72,0.23
"6114,68 кэВ",200,20.85,0.23
"6114,68 кэВ",250,20.93,0.23
"6114,68 кэВ",300,21.13,0.24
"6114,68 кэВ",350,21.55,0.24
"6114,68 кэВ",400,20.38,0.25
"7833,46 кэВ",40,22.49,0.25
"7833,46 кэВ",50,22.01,0.25
"7833,46 кэВ",60,21.94,0.24
"7833,46 кэВ",70,21.59,0.24
"7833,46 кэВ",80,22.15,0.23
"7833,46 кэВ",90,23.15,0.24
"7833,46 кэВ",100,21.64,0.25
"7833,46 кэВ",110,22.43,0.24
"7833,46 кэВ",120,22.01,0.23
"7833,46 кэВ",140,21.54,0.22
"7833,46 кэВ",160,23.55,0.26
"7833,46 кэВ",200,22.29,0.24
"7833,46 кэВ",250,22.22,0.23
"7833,46 кэВ",300,22.68,0.25
"7833,46 кэВ",350,21.98,0.24
"7833,46 кэВ",400,23.01,0.25
