Пик,Напряжение (В),Амплитуда,ΔАмплитуда
"4870,62 кэВ",40,20.48,0.27
"4870,62 кэВ",50,22.01,0.25
"4870,62 кэВ",60,20.26,0.26
"4870,62 кэВ",70,20.02,0.25
"4870,62 кэВ",80,20.97,0.24
"4870,62 кэВ",90,20.68,0.27
"4870,62 кэВ",100,20.03,0.27
"4870,62 кэВ",110,20.52,0.27
"4870,62 кэВ",120,20.15,0.25
"4870,62 кэВ",140,20.98,0.26
"4870,62 кэВ",160,21.29,0.26
"4870,62 кэВ",200,21.55,0.26
"4870,62 кэВ",250,20.81,0.26
"4870,62 кэВ",300,20.75,0.27
"4870,62 кэВ",350,20.71,0.25
"4870,62 кэВ",400,20.41,0.24
"5407,45 кэВ",40,14.69,0.27
"5407,45 кэВ",50,13.87,0.26
"5407,45 кэВ",60,14.22,0.25
"5407,45 кэВ",70,14.02,0.26
"5407,45 кэВ",80,14.3,0.26
"5407,45 кэВ",90,14.51,0.26
"5407,45 кэВ",100,14.28,0.27
"5407,45 кэВ",110,14.25,0.25
"5407,45 кэВ",120,14.64,0.26
"5407,45 кэВ",140,14.87,0.27
"5407,45 кэВ",160,14.51,0.26
"5407,45 кэВ",200,14.71,0.27
"5407,45 кэВ",250,14.39,0.27
"5407,45 кэВ",300,14.37,0.25
"5407,45 кэВ",350,14.18,0.26
"5407,45 кэВ",400,14.75,0.26
"5590,3 кэВ",40,21.47,0.27
"5590,3 кэВ",50,21.54,0.26
"5590,3 кэВ",60,21.55,0.25
"5590,3 кэВ",70,21.68,0.26
"5590,3 кэВ",80,21.68,0.26
"5590,3 кэВ",90,21.31,0.26
"5590,3 кэВ",100,22.32,0.27
"5590,3 кэВ",110,20.35,0.25
"5590,3 кэВ",120,20.91,0.26
"5590,3 кэВ",140,21.21,0.27
"5590,3 кэВ",160,21.44,0.26
"5590,3 кэВ",200,21.59,0.27
"5590,3 кэВ",250,22.72,0.27
"5590,3 кэВ",300,21.29,0.25
"5590,3 кэВ",350,20.73,0.26
"5590,3 кэВ",400,21.05,0.26
"6114,68 кэВ",40,22.41,0.26
"6114,68 кэВ",50,22.23,0.25
"6114,68 кэВ",60,22.02,0.24
"6114,68 кэВ",70,21.82,0.22
"6114,68 кэВ",80,22.62,0.25
"6114,68 кэВ",90,22.28,0.25
"6114,68 кэВ",100,21.92,0.25
"6114,68 кэВ",110,21.79,0.25
"6114,68 кэВ",120,22.49,0.25
"6114,68 кэВ",140,21.28,0.22
"6114,68 кэВ",160,22.51,0.23
"6114,68 кэВ",200,23.1,0.25
"6114,68 кэВ",250,23.09,0.26
"6114,68 кэВ",300,23.86,0.27
"6114,68 кэВ",350,22.44,0.25
"6114,68 кэВ",400,23.63,0.23
"7833,46 кэВ",40,25.4,0.27
"7833,46 кэВ",50,24.22,0.25
"7833,46 кэВ",60,25.46,0.3
"7833,46 кэВ",70,25.29,0.29
"7833,46 кэВ",80,25.78,0.28
"7833,46 кэВ",90,25.12,0.27
"7833,46 кэВ",100,24.24,0.27
"7833,46 кэВ",110,25.21,0.29
"7833,46 кэВ",120,24.26,0.26
"7833,46 кэВ",140,25.58,0.27
"7833,46 кэВ",160,26.17,0.29
"7833,46 кэВ",200,25.09,0.28
"7833,46 кэВ",250,24.46,0.28
"7833,46 кэВ",300,24.05,0.27
"7833,46 кэВ",350,25.43,0.26
"7833,46 кэВ",400,25.54,0.27
