Пик,Напряжение (В),ПШПВ (кэВ),ΔПШПВ (кэВ)
"4870,62 кэВ",40,65.53,1.03
"4870,62 кэВ",50,63.36,0.87
"4870,62 кэВ",60,68.98,1.05
"4870,62 кэВ",70,66.53,0.98
"4870,62 кэВ",80,66.51,0.89
"4870,62 кэВ",90,65.69,1.03
"4870,62 кэВ",100,64.12,1.04
"4870,62 кэВ",110,65.78,1.05
"4870,62 кэВ",120,65.4,0.97
"4870,62 кэВ",140,63.89,0.96
"4870,62 кэВ",160,62.69,0.91
"4870,62 кэВ",200,65.22,0.94
"4870,62 кэВ",250,64.8,0.95
"4870,62 кэВ",300,65.0,1.01
"4870,62 кэВ",350,66.5,0.95
"4870,62 кэВ",400,66.13,0.93
"5407,45 кэВ",40,59.09,1.29
"5407,45 кэВ",50,61.82,1.37
"5407,45 кэВ",60,57.76,1.22
"5407,45 кэВ",70,62.66,1.37
"5407,45 кэВ",80,61.04,1.34
"5407,45 кэВ",90,59.91,1.3
"5407,45 кэВ",100,60.69,1.36
"5407,45 кэВ",110,61.46,1.31
"5407,45 кэВ",120,58.7,1.25
"5407,45 кэВ",140,58.42,1.26
"5407,45 кэВ",160,60.09,1.3
"5407,45 кэВ",200,58.29,1.26
"5407,45 кэВ",250,60.27,1.34
"5407,45 кэВ",300,59.91,1.26
"5407,45 кэВ",350,59.19,1.29
"5407,45 кэВ",400,58.23,1.22
"5590,3 кэВ",40,56.21,1.29
"5590,3 кэВ",50,56.82,1.37
"5590,3 кэВ",60,54.97,1.22
"5590,3 кэВ",70,54.29,1.37
"5590,3 кэВ",80,56.05,1.34
"5590,3 кэВ",90,56.33,1.3
"5590,3 кэВ",100,54.89,1.36
"5590,3 кэВ",110,58.7,1.31
"5590,3 кэВ",120,55.12,1.25
"5590,3 кэВ",140,56.63,1.26
"5590,3 кэВ",160,55.39,1.3
"5590,3 кэВ",200,55.13,1.26
"5590,3 кэВ",250,52.82,1.34
"5590,3 кэВ",300,56.52,1.26
"5590,3 кэВ",350,57.57,1.29
"5590,3 кэВ",400,56.86,1.22
"6114,68 кэВ",40,55.04,0.75
"6114,68 кэВ",50,56.84,0.76
"6114,68 кэВ",60,56.9,0.73
"6114,68 кэВ",70,56.01,0.69
"6114,68 кэВ",80,55.83,0.75
"6114,68 кэВ",90,57.19,0.76
"6114,68 кэВ",100,56.95,0.78
"6114,68 кэВ",110,57.31,0.79
"6114,68 кэВ",120,54.16,0.73
"6114,68 кэВ",140,59.5,0.72
"6114,68 кэВ",160,55.75,0.69
"6114,68 кэВ",200,56.47,0.72
"6114,68 кэВ",250,54.54,0.74
"6114,68 кэВ",300,54.74,0.73
"6114,68 кэВ",350,56.62,0.76
"6114,68 кэВ",400,56.81,0.66
"7833,46 кэВ",40,52.56,0.65
"7833,46 кэВ",50,54.28,0.67
"7833,46 кэВ",60,51.5,0.72
"7833,46 кэВ",70,53.32,0.73
"7833,46 кэВ",80,53.14,0.69
"7833,46 кэВ",90,53.26,0.69
"7833,46 кэВ",100,54.87,0.73
"7833,46 кэВ",110,53.65,0.74
"7833,46 кэВ",120,56.44,0.73
"7833,46 кэВ",140,54.64,0.68
"7833,46 кэВ",160,53.77,0.7
"7833,46 кэВ",200,54.11,0.72
"7833,46 кэВ",250,55.27,0.74
"7833,46 кэВ",300,55.67,0.73
"7833,46 кэВ",350,54.06,0.66
"7833,46 кэВ",400,53.53,0.67
