Пик,Напряжение (В),Нормированная энергия,Нормированная ΔЭнергия
"4870,62 кэВ",40,0.9952024295651817,8.41319024069932e-05
"4870,62 кэВ",50,0.9981593581351446,7.181991668889664e-05
"4870,62 кэВ",60,0.9993002688116882,8.618390002667596e-05
"4870,62 кэВ",70,0.9996306404284571,8.002790716762769e-05
"4870,62 кэВ",80,0.9997393963023002,7.387191430857939e-05
"4870,62 кэВ",90,0.9996367964213161,8.41319024069932e-05
"4870,62 кэВ",100,1.0,8.618390002667596e-05
"4870,62 кэВ",110,0.99974144829992,8.618390002667596e-05
"4870,62 кэВ",120,0.9993638807378983,8.002790716762769e-05
"4870,62 кэВ",140,0.998939117230624,8.002790716762769e-05
"4870,62 кэВ",160,0.9981511501446658,7.592391192826216e-05
"4870,62 кэВ",200,0.9969137955799972,7.797590954794492e-05
"4870,62 кэВ",250,0.9940389469148215,8.002790716762769e-05
"4870,62 кэВ",300,0.9908829745757495,8.41319024069932e-05
"4870,62 кэВ",350,0.9866476514887241,7.797590954794492e-05
"4870,62 кэВ",400,0.9816161533252621,7.592391192826216e-05
"5407,45 кэВ",40,0.9953578558437546,9.806043853368192e-05
"5407,45 кэВ",50,0.9985716479519244,0.00010176083244061331
"5407,45 кэВ",60,0.9995966570641445,9.065965071981912e-05
"5407,45 кэВ",70,0.999809429713793,0.00010176083244061331
"5407,45 кэВ",80,0.9999000893645129,9.991063548714762e-05
"5407,45 кэВ",90,0.9999925992121862,9.806043853368192e-05
"5407,45 кэВ",100,1.0,0.00010176083244061331
"5407,45 кэВ",110,0.999781676759491,9.806043853368192e-05
"5407,45 кэВ",120,0.9997354218356543,9.436004462675052e-05
"5407,45 кэВ",140,0.9991970145221959,9.436004462675052e-05
"5407,45 кэВ",160,0.9985438949976225,9.806043853368192e-05
"5407,45 кэВ",200,0.996849114588248,9.436004462675052e-05
"5407,45 кэВ",250,0.9945622711537643,9.991063548714762e-05
"5407,45 кэВ",300,0.9908840796102746,9.436004462675052e-05
"5407,45 кэВ",350,0.9867914439492084,9.621024158021621e-05
"5407,45 кэВ",400,0.981529483813552,9.250984767328483e-05
"5590,3 кэВ",40,0.9954659022264797,9.472100196948197e-05
"5590,3 кэВ",50,0.998620290310935,9.829537940229262e-05
"5590,3 кэВ",60,0.9996979651069274,8.757224710386068e-05
"5590,3 кэВ",70,0.9997873245427477,9.829537940229262e-05
"5590,3 кэВ",80,0.9999106405641798,9.650819068588729e-05
"5590,3 кэВ",90,0.9999553202820899,9.472100196948197e-05
"5590,3 кэВ",100,1.0,9.829537940229262e-05
"5590,3 кэВ",110,0.9999660434143882,9.472100196948197e-05
"5590,3 кэВ",120,0.9997372832586884,9.114662453667132e-05
"5590,3 кэВ",140,0.9989991743188129,9.114662453667132e-05
"5590,3 кэВ",160,0.9986685444062781,9.472100196948197e-05
"5590,3 кэВ",200,0.9971941137152437,9.114662453667132e-05
"5590,3 кэВ",250,0.994307803938249,9.650819068588729e-05
"5590,3 кэВ",300,0.9911301824004803,9.114662453667132e-05
"5590,3 кэВ",350,0.9866729337417656,9.293381325307664e-05
"5590,3 кэВ",400,0.9816938259778603,8.935943582026601e-05
"6114,68 кэВ",40,0.995260485420397,5.064631229496412e-05
"6114,68 кэВ",50,0.998534524447465,5.064631229496412e-05
"6114,68 кэВ",60,0.9995278456692501,4.901256028544915e-05
"6114,68 кэВ",70,0.99973043091843,4.5745056266419214e-05
"6114,68 кэВ",80,0.9998513285671342,4.901256028544915e-05
"6114,68 кэВ",90,0.9998676660872292,5.064631229496412e-05
"6114,68 кэВ",100,1.0,5.2280064304479094e-05
"6114,68 кэВ",110,0.9997059246382872,5.2280064304479094e-05
"6114,68 кэВ",120,0.9998121185189057,4.901256028544915e-05
"6114,68 кэВ",140,0.9990279175543386,4.737880827593417e-05
"6114,68 кэВ",160,0.9984528368469893,4.5745056266419214e-05
"6114,68 кэВ",200,0.9969024061899596,4.737880827593417e-05
"6114,68 кэВ",250,0.9944730169518109,4.901256028544915e-05
"6114,68 кэВ",300,0.9910862490360862,4.901256028544915e-05
"6114,68 кэВ",350,0.9864022820248068,5.064631229496412e-05
"6114,68 кэВ",400,0.981291905739044,4.4111304256904236e-05
"7833,46 кэВ",40,0.9954171655871262,3.4466999762560673e-05
"7833,46 кэВ",50,0.9985140893435696,3.4466999762560673e-05
"7833,46 кэВ",60,0.9996578831134679,3.702011085608368e-05
"7833,46 кэВ",70,0.9997842621125974,3.8296666402845186e-05
"7833,46 кэВ",80,0.9999183004450072,3.574355530932218e-05
"7833,46 кэВ",90,1.0,3.574355530932218e-05
"7833,46 кэВ",100,0.9998085166679858,3.8296666402845186e-05
"7833,46 кэВ",110,0.9998251118900937,3.8296666402845186e-05
"7833,46 кэВ",120,0.999785538668144,3.8296666402845186e-05
"7833,46 кэВ",140,0.9992787461160798,3.574355530932218e-05
"7833,46 кэВ",160,0.9986098310095767,3.574355530932218e-05
"7833,46 кэВ",200,0.9971251969086932,3.702011085608368e-05
"7833,46 кэВ",250,0.9944316647050263,3.8296666402845186e-05
"7833,46 кэВ",300,0.990820289063238,3.8296666402845186e-05
"7833,46 кэВ",350,0.9862617092057527,3.4466999762560673e-05
"7833,46 кэВ",400,0.9812027195739368,3.4466999762560673e-05
