Пик,Напряжение (В),Энергия (кэВ),ΔЭнергия (кэВ)
"4870,62 кэВ",40,4849.92,0.41
"4870,62 кэВ",50,4864.33,0.35
"4870,62 кэВ",60,4869.89,0.42
"4870,62 кэВ",70,4871.5,0.39
"4870,62 кэВ",80,4872.03,0.36
"4870,62 кэВ",90,4871.53,0.41
"4870,62 кэВ",100,4873.3,0.42
"4870,62 кэВ",110,4872.04,0.42
"4870,62 кэВ",120,4870.2,0.39
"4870,62 кэВ",140,4868.13,0.39
"4870,62 кэВ",160,4864.29,0.37
"4870,62 кэВ",200,4858.26,0.38
"4870,62 кэВ",250,4844.25,0.39
"4870,62 кэВ",300,4828.87,0.41
"4870,62 кэВ",350,4808.23,0.38
"4870,62 кэВ",400,4783.71,0.37
"5407,45 кэВ",40,5379.74,0.53
"5407,45 кэВ",50,5397.11,0.55
"5407,45 кэВ",60,5402.65,0.49
"5407,45 кэВ",70,5403.8,0.55
"5407,45 кэВ",80,5404.29,0.54
"5407,45 кэВ",90,5404.79,0.53
"5407,45 кэВ",100,5404.83,0.55
"5407,45 кэВ",110,5403.65,0.53
"5407,45 кэВ",120,5403.4,0.51
"5407,45 кэВ",140,5400.49,0.51
"5407,45 кэВ",160,5396.96,0.53
"5407,45 кэВ",200,5387.8,0.51
"5407,45 кэВ",250,5375.44,0.54
"5407,45 кэВ",300,5355.56,0.51
"5407,45 кэВ",350,5333.44,0.52
"5407,45 кэВ",400,5305.0,0.5
"5590,3 кэВ",40,5570.01,0.53
"5590,3 кэВ",50,5587.66,0.55
"5590,3 кэВ",60,5593.69,0.49
"5590,3 кэВ",70,5594.19,0.55
"5590,3 кэВ",80,5594.88,0.54
"5590,3 кэВ",90,5595.13,0.53
"5590,3 кэВ",100,5595.38,0.55
"5590,3 кэВ",110,5595.19,0.53
"5590,3 кэВ",120,5593.91,0.51
"5590,3 кэВ",140,5589.78,0.51
"5590,3 кэВ",160,5587.93,0.53
"5590,3 кэВ",200,5579.68,0.51
"5590,3 кэВ",250,5563.53,0.54
"5590,3 кэВ",300,5545.75,0.51
"5590,3 кэВ",350,5520.81,0.52
"5590,3 кэВ",400,5492.95,0.5
"6114,68 кэВ",40,6091.87,0.31
"6114,68 кэВ",50,6111.91,0.31
"6114,68 кэВ",60,6117.99,0.3
"6114,68 кэВ",70,6119.23,0.28
"6114,68 кэВ",80,6119.97,0.3
"6114,68 кэВ",90,6120.07,0.31
"6114,68 кэВ",100,6120.88,0.32
"6114,68 кэВ",110,6119.08,0.32
"6114,68 кэВ",120,6119.73,0.3
"6114,68 кэВ",140,6114.93,0.29
"6114,68 кэВ",160,6111.41,0.28
"6114,68 кэВ",200,6101.92,0.29
"6114,68 кэВ",250,6087.05,0.3
"6114,68 кэВ",300,6066.32,0.3
"6114,68 кэВ",350,6037.65,0.31
"6114,68 кэВ",400,6006.37,0.27
"7833,46 кэВ",40,7797.68,0.27
"7833,46 кэВ",50,7821.94,0.27
"7833,46 кэВ",60,7830.9,0.29
"7833,46 кэВ",70,7831.89,0.3
"7833,46 кэВ",80,7832.94,0.28
"7833,46 кэВ",90,7833.58,0.28
"7833,46 кэВ",100,7832.08,0.3
"7833,46 кэВ",110,7832.21,0.3
"7833,46 кэВ",120,7831.9,0.3
"7833,46 кэВ",140,7827.93,0.28
"7833,46 кэВ",160,7822.69,0.28
"7833,46 кэВ",200,7811.06,0.29
"7833,46 кэВ",250,7789.96,0.3
"7833,46 кэВ",300,7761.67,0.3
"7833,46 кэВ",350,7725.96,0.27
"7833,46 кэВ",400,7686.33,0.27
