Пик,Напряжение (В),Амплитуда,ΔАмплитуда
"4870,62 кэВ",40,14.55,0.22
"4870,62 кэВ",50,13.59,0.17
"4870,62 кэВ",60,13.79,0.19
"4870,62 кэВ",70,13.49,0.17
"4870,62 кэВ",80,13.21,0.16
"4870,62 кэВ",90,12.68,0.18
"4870,62 кэВ",100,13.21,0.17
"4870,62 кэВ",110,12.27,0.16
"4870,62 кэВ",120,12.52,0.18
"4870,62 кэВ",140,11.12,0.16
"4870,62 кэВ",160,11.13,0.17
"4870,62 кэВ",200,7.74,0.12
"5407,45 кэВ",40,10.18,0.2
"5407,45 кэВ",50,9.68,0.2
"5407,45 кэВ",60,8.95,0.19
"5407,45 кэВ",70,8.57,0.2
"5407,45 кэВ",80,8.54,0.2
"5407,45 кэВ",90,8.29,0.2
"5407,45 кэВ",100,8.29,0.19
"5407,45 кэВ",110,8.98,0.19
"5407,45 кэВ",120,7.86,0.2
"5407,45 кэВ",140,7.68,0.18
"5407,45 кэВ",160,6.85,0.17
"5407,45 кэВ",200,5.33,0.15
"5590,3 кэВ",40,14.23,0.2
"5590,3 кэВ",50,13.39,0.2
"5590,3 кэВ",60,13.55,0.19
"5590,3 кэВ",70,13.11,0.2
"5590,3 кэВ",80,13.86,0.2
"5590,3 кэВ",90,13.11,0.2
"5590,3 кэВ",100,12.93,0.19
"5590,3 кэВ",110,13.24,0.19
"5590,3 кэВ",120,12.56,0.2
"5590,3 кэВ",140,11.55,0.18
"5590,3 кэВ",160,10.36,0.17
"5590,3 кэВ",200,7.89,0.15
"6114,68 кэВ",40,15.4,0.2
"6114,68 кэВ",50,15.05,0.19
"6114,68 кэВ",60,14.78,0.17
"6114,68 кэВ",70,14.72,0.19
"6114,68 кэВ",80,13.96,0.17
"6114,68 кэВ",90,13.43,0.16
"6114,68 кэВ",100,13.79,0.18
"6114,68 кэВ",110,13.2,0.17
"6114,68 кэВ",120,13.71,0.17
"6114,68 кэВ",140,12.33,0.17
"6114,68 кэВ",160,11.22,0.14
"6114,68 кэВ",200,8.07,0.11
"7833,46 кэВ",40,16.49,0.18
"7833,46 кэВ",50,15.08,0.19
"7833,46 кэВ",60,14.78,0.17
"7833,46 кэВ",70,15.81,0.2
"7833,46 кэВ",80,14.12,0.18
"7833,46 кэВ",90,14.51,0.17
"7833,46 кэВ",100,14.49,0.17
"7833,46 кэВ",110,13.24,0.16
"7833,46 кэВ",120,13.81,0.17
"7833,46 кэВ",140,12.93,0.16
"7833,46 кэВ",160,10.74,0.13
"7833,46 кэВ",200,8.24,0.12
