Пик,Напряжение (В),ПШПВ (кэВ),ΔПШПВ (кэВ)
"4870,62 кэВ",40,61.78,1.11
"4870,62 кэВ",50,68.48,1.02
"4870,62 кэВ",60,65.38,1.06
"4870,62 кэВ",70,68.65,1.05
"4870,62 кэВ",80,68.28,1.0
"4870,62 кэВ",90,66.89,1.11
"4870,62 кэВ",100,69.14,1.04
"4870,62 кэВ",110,73.27,1.12
"4870,62 кэВ",120,70.34,1.22
"4870,62 кэВ",140,78.65,1.33
"4870,62 кэВ",160,81.3,1.46
"4870,62 кэВ",200,112.36,2.13
"5407,45 кэВ",40,55.15,1.27
"5407,45 кэВ",50,57.34,1.42
"5407,45 кэВ",60,59.97,1.51
"5407,45 кэВ",70,62.94,1.77
"5407,45 кэВ",80,64.47,1.76
"5407,45 кэВ",90,62.8,1.79
"5407,45 кэВ",100,65.83,1.8
"5407,45 кэВ",110,64.97,1.65
"5407,45 кэВ",120,67.08,2.05
"5407,45 кэВ",140,73.98,2.08
"5407,45 кэВ",160,84.46,2.49
"5407,45 кэВ",200,107.1,3.6
"5590,3 кэВ",40,52.41,1.27
"5590,3 кэВ",50,56.58,1.42
"5590,3 кэВ",60,56.55,1.51
"5590,3 кэВ",70,59.29,1.77
"5590,3 кэВ",80,55.52,1.76
"5590,3 кэВ",90,58.96,1.79
"5590,3 кэВ",100,61.51,1.8
"5590,3 кэВ",110,61.31,1.65
"5590,3 кэВ",120,61.35,2.05
"5590,3 кэВ",140,68.74,2.08
"5590,3 кэВ",160,79.46,2.49
"5590,3 кэВ",200,104.93,3.6
"6114,68 кэВ",40,51.39,0.81
"6114,68 кэВ",50,55.48,0.83
"6114,68 кэВ",60,56.03,0.78
"6114,68 кэВ",70,58.26,0.92
"6114,68 кэВ",80,61.46,0.91
"6114,68 кэВ",90,63.34,0.92
"6114,68 кэВ",100,61.08,0.97
"6114,68 кэВ",110,64.37,0.98
"6114,68 кэВ",120,62.36,0.93
"6114,68 кэВ",140,70.47,1.19
"6114,68 кэВ",160,82.24,1.19
"6114,68 кэВ",200,113.2,1.94
"7833,46 кэВ",40,50.24,0.66
"7833,46 кэВ",50,51.13,0.78
"7833,46 кэВ",60,54.27,0.74
"7833,46 кэВ",70,53.75,0.79
"7833,46 кэВ",80,54.7,0.85
"7833,46 кэВ",90,54.14,0.76
"7833,46 кэВ",100,57.61,0.8
"7833,46 кэВ",110,61.49,0.89
"7833,46 кэВ",120,59.02,0.89
"7833,46 кэВ",140,66.0,0.97
"7833,46 кэВ",160,77.13,1.14
"7833,46 кэВ",200,106.41,1.84
