Пик,Напряжение (В),Нормированная энергия,Нормированная ΔЭнергия
"4870,62 кэВ",40,0.9933005512724435,9.239202964757574e-05
"4870,62 кэВ",50,0.9960969500364435,8.417940479001343e-05
"4870,62 кэВ",60,0.9978914085678208,8.828571721879458e-05
"4870,62 кэВ",70,0.9990103787046636,8.623256100440401e-05
"4870,62 кэВ",80,0.9998501195963494,8.212624857562287e-05
"4870,62 кэВ",90,0.9995195614458325,9.239202964757574e-05
"4870,62 кэВ",100,1.0,8.623256100440401e-05
"4870,62 кэВ",110,0.9996735481619119,9.239202964757574e-05
"4870,62 кэВ",120,0.9997392491607723,0.00010060465450513802
"4870,62 кэВ",140,0.9990165381733069,0.00010881727936270032
"4870,62 кэВ",160,0.998254817217768,0.00011908306043465316
"4870,62 кэВ",200,0.9968114483990514,0.00017246512200880801
"5407,45 кэВ",40,0.9937576848436366,9.629201665111181e-05
"5407,45 кэВ",50,0.9960816556301202,0.00010740263395700931
"5407,45 кэВ",60,0.9981723034531799,0.00011295794260995807
"5407,45 кэВ",70,0.9996518673244152,0.00013147563811978727
"5407,45 кэВ",80,0.9997463075715154,0.00013147563811978727
"5407,45 кэВ",90,0.9998648208227783,0.00013517917722175312
"5407,45 кэВ",100,1.0,0.00013517917722175312
"5407,45 кэВ",110,0.9997407522628624,0.0001222167903648727
"5407,45 кэВ",120,0.9998481548968194,0.00015184510318059938
"5407,45 кэВ",140,0.9990907811504675,0.0001536968727315823
"5407,45 кэВ",160,0.9984093299557056,0.00018332518554730901
"5407,45 кэВ",200,0.9971538302001393,0.00026295127623957455
"5590,3 кэВ",40,0.9932337831627772,9.298183814365337e-05
"5590,3 кэВ",50,0.9961859565238382,0.00010371051177561336
"5590,3 кэВ",60,0.9980187716026314,0.00010907484859159338
"5590,3 кэВ",70,0.9992883313157467,0.0001269559713115267
"5590,3 кэВ",80,0.9997979433132648,0.0001269559713115267
"5590,3 кэВ",90,0.9997890027519049,0.00013053219585551338
"5590,3 кэВ",100,1.0,0.00013053219585551338
"5590,3 кэВ",110,0.9997603929555529,0.00011801540995156004
"5590,3 кэВ",120,0.9995404551460978,0.00014662520630345338
"5590,3 кэВ",140,0.998945013759524,0.00014841331857544672
"5590,3 кэВ",160,0.9982530143102626,0.00017702311492734005
"5590,3 кэВ",200,0.9969208706676276,0.0002539119426230534
"6114,68 кэВ",40,0.993216194170504,5.394351623454641e-05
"6114,68 кэВ",50,0.9960817391389634,5.557816824165388e-05
"6114,68 кэВ",60,0.9977932197904049,5.230886422743894e-05
"6114,68 кэВ",70,0.9992284442526452,6.048212426297627e-05
"6114,68 кэВ",80,0.9997548021989339,6.048212426297627e-05
"6114,68 кэВ",90,1.0,6.048212426297627e-05
"6114,68 кэВ",100,0.9999820188279217,6.375142827719121e-05
"6114,68 кэВ",110,0.999758071502948,6.538608028429867e-05
"6114,68 кэВ",120,0.9996125874743156,6.211677627008374e-05
"6114,68 кэВ",140,0.9986661239622003,7.846329634115841e-05
"6114,68 кэВ",160,0.9980351482874568,7.846329634115841e-05
"6114,68 кэВ",200,0.9968009860220906,0.00012586820454727496
"7833,46 кэВ",40,0.9933620098593114,3.447311671448216e-05
"7833,46 кэВ",50,0.9960853860797555,4.085702721716404e-05
"7833,46 кэВ",60,0.9979226755224274,3.8303463016091284e-05
"7833,46 кэВ",70,0.9994471533504677,4.085702721716404e-05
"7833,46 кэВ",80,0.9996871883853686,4.468737351877316e-05
"7833,46 кэВ",90,1.0,3.958024511662766e-05
"7833,46 кэВ",100,0.999716554373681,4.213380931770042e-05
"7833,46 кэВ",110,0.9997127240273793,4.596415561930954e-05
"7833,46 кэВ",120,0.9993590553855308,4.596415561930954e-05
"7833,46 кэВ",140,0.9989223959071474,4.979450192091868e-05
"7833,46 кэВ",160,0.9981435588258201,5.873197662467331e-05
"7833,46 кэВ",200,0.9963471264103655,9.320509333915547e-05
