Пик,Напряжение (В),Энергия (кэВ),ΔЭнергия (кэВ)
"4870,62 кэВ",40,4837.92,0.45
"4870,62 кэВ",50,4851.54,0.41
"4870,62 кэВ",60,4860.28,0.43
"4870,62 кэВ",70,4865.73,0.42
"4870,62 кэВ",80,4869.82,0.4
"4870,62 кэВ",90,4868.21,0.45
"4870,62 кэВ",100,4870.55,0.42
"4870,62 кэВ",110,4868.96,0.45
"4870,62 кэВ",120,4869.28,0.49
"4870,62 кэВ",140,4865.76,0.53
"4870,62 кэВ",160,4862.05,0.58
"4870,62 кэВ",200,4855.02,0.84
"5407,45 кэВ",40,5366.53,0.52
"5407,45 кэВ",50,5379.08,0.58
"5407,45 кэВ",60,5390.37,0.61
"5407,45 кэВ",70,5398.36,0.71
"5407,45 кэВ",80,5398.87,0.71
"5407,45 кэВ",90,5399.51,0.73
"5407,45 кэВ",100,5400.24,0.73
"5407,45 кэВ",110,5398.84,0.66
"5407,45 кэВ",120,5399.42,0.82
"5407,45 кэВ",140,5395.33,0.83
"5407,45 кэВ",160,5391.65,0.99
"5407,45 кэВ",200,5384.87,1.42
"5590,3 кэВ",40,5554.65,0.52
"5590,3 кэВ",50,5571.16,0.58
"5590,3 кэВ",60,5581.41,0.61
"5590,3 кэВ",70,5588.51,0.71
"5590,3 кэВ",80,5591.36,0.71
"5590,3 кэВ",90,5591.31,0.73
"5590,3 кэВ",100,5592.49,0.73
"5590,3 кэВ",110,5591.15,0.66
"5590,3 кэВ",120,5589.92,0.82
"5590,3 кэВ",140,5586.59,0.83
"5590,3 кэВ",160,5582.72,0.99
"5590,3 кэВ",200,5575.27,1.42
"6114,68 кэВ",40,6076.01,0.33
"6114,68 кэВ",50,6093.54,0.34
"6114,68 кэВ",60,6104.01,0.32
"6114,68 кэВ",70,6112.79,0.37
"6114,68 кэВ",80,6116.01,0.37
"6114,68 кэВ",90,6117.51,0.37
"6114,68 кэВ",100,6117.4,0.39
"6114,68 кэВ",110,6116.03,0.4
"6114,68 кэВ",120,6115.14,0.38
"6114,68 кэВ",140,6109.35,0.48
"6114,68 кэВ",160,6105.49,0.48
"6114,68 кэВ",200,6097.94,0.77
"7833,46 кэВ",40,7780.2,0.27
"7833,46 кэВ",50,7801.53,0.32
"7833,46 кэВ",60,7815.92,0.3
"7833,46 кэВ",70,7827.86,0.32
"7833,46 кэВ",80,7829.74,0.35
"7833,46 кэВ",90,7832.19,0.31
"7833,46 кэВ",100,7829.97,0.33
"7833,46 кэВ",110,7829.94,0.36
"7833,46 кэВ",120,7827.17,0.36
"7833,46 кэВ",140,7823.75,0.39
"7833,46 кэВ",160,7817.65,0.46
"7833,46 кэВ",200,7803.58,0.73
