SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	mydet	GR-HV	40	117	21.2	4837.92	0.45	61.78	1.11	14.55	0.22	0.83551
01	Ra-226	mydet	GR-HV	40	117	21.2	5366.53	0.52	55.15	1.27	10.18	0.20	0.87091
01	Ra-226	mydet	GR-HV	40	117	21.2	5554.65	0.52	52.41	1.27	14.23	0.20	0.87091
01	Ra-226	mydet	GR-HV	40	117	21.2	6076.01	0.33	51.39	0.81	15.40	0.20	0.87676
01	Ra-226	mydet	GR-HV	40	117	21.2	7780.20	0.27	50.24	0.66	16.49	0.18	0.91335
02	Ra-226	mydet	GR-HV	50	130	21.2	4851.54	0.41	68.48	1.02	13.59	0.17	0.87896
02	Ra-226	mydet	GR-HV	50	130	21.2	5379.08	0.58	57.34	1.42	9.68	0.20	0.85185
02	Ra-226	mydet	GR-HV	50	130	21.2	5571.16	0.58	56.58	1.42	13.39	0.20	0.85185
02	Ra-226	mydet	GR-HV	50	130	21.2	6093.54	0.34	55.48	0.83	15.05	0.19	0.88607
02	Ra-226	mydet	GR-HV	50	130	21.2	7801.53	0.32	51.13	0.78	15.08	0.19	0.88584
03	Ra-226	mydet	GR-HV	60	139	21.2	4860.28	0.43	65.38	1.06	13.79	0.19	0.86132
03	Ra-226	mydet	GR-HV	60	139	21.2	5390.37	0.61	59.97	1.51	8.95	0.19	0.86022
03	Ra-226	mydet	GR-HV	60	139	21.2	5581.41	0.61	56.55	1.51	13.55	0.19	0.86022
03	Ra-226	mydet	GR-HV	60	139	21.2	6104.01	0.32	56.03	0.78	14.78	0.17	0.89912
03	Ra-226	mydet	GR-HV	60	139	21.2	7815.92	0.30	54.27	0.74	14.78	0.17	0.90532
04	Ra-226	mydet	GR-HV	70	148	21.2	4865.73	0.42	68.65	1.05	13.49	0.17	0.87190
04	Ra-226	mydet	GR-HV	70	148	21.2	5398.36	0.71	62.94	1.77	8.57	0.20	0.83188
04	Ra-226	mydet	GR-HV	70	148	21.2	5588.51	0.71	59.29	1.77	13.11	0.20	0.83188
04	Ra-226	mydet	GR-HV	70	148	21.2	6112.79	0.37	58.26	0.92	14.72	0.19	0.87325
04	Ra-226	mydet	GR-HV	70	148	21.2	7827.86	0.32	53.75	0.79	15.81	0.20	0.89066
05	Ra-226	mydet	GR-HV	80	156	21.2	4869.82	0.40	68.28	1.00	13.21	0.16	0.88140
05	Ra-226	mydet	GR-HV	80	156	21.2	5398.87	0.71	64.47	1.76	8.54	0.20	0.84346
05	Ra-226	mydet	GR-HV	80	156	21.2	5591.36	0.71	55.52	1.76	13.86	0.20	0.84346
05	Ra-226	mydet	GR-HV	80	156	21.2	6116.01	0.37	61.46	0.91	13.96	0.17	0.88319
05	Ra-226	mydet	GR-HV	80	156	21.2	7829.74	0.35	54.70	0.85	14.12	0.18	0.87829
06	Ra-226	mydet	GR-HV	90	165	21.2	4868.21	0.45	66.89	1.11	12.68	0.18	0.85391
06	Ra-226	mydet	GR-HV	90	165	21.2	5399.51	0.73	62.80	1.79	8.29	0.20	0.83363
06	Ra-226	mydet	GR-HV	90	165	21.2	5591.31	0.73	58.96	1.79	13.11	0.20	0.83363
06	Ra-226	mydet	GR-HV	90	165	21.2	6117.51	0.37	63.34	0.92	13.43	0.16	0.88617
06	Ra-226	mydet	GR-HV	90	165	21.2	7832.19	0.31	54.14	0.76	14.51	0.17	0.89777
07	Ra-226	mydet	GR-HV	100	175	21.2	4870.55	0.42	69.14	1.04	13.21	0.17	0.87502
07	Ra-226	mydet	GR-HV	100	175	21.2	5400.24	0.73	65.83	1.80	8.29	0.19	0.84017
07	Ra-226	mydet	GR-HV	100	175	21.2	5592.49	0.73	61.51	1.80	12.93	0.19	0.84017
07	Ra-226	mydet	GR-HV	100	175	21.2	6117.40	0.39	61.08	0.97	13.79	0.18	0.86987
07	Ra-226	mydet	GR-HV	100	175	21.2	7829.97	0.33	57.61	0.80	14.49	0.17	0.89819
08	Ra-226	mydet	GR-HV	110	183	21.2	4868.96	0.45	73.27	1.12	12.27	0.16	0.86798
08	Ra-226	mydet	GR-HV	110	183	21.2	5398.84	0.66	64.97	1.65	8.98	0.19	0.85036
08	Ra-226	mydet	GR-HV	110	183	21.2	5591.15	0.66	61.31	1.65	13.24	0.19	0.85036
08	Ra-226	mydet	GR-HV	110	183	21.2	6116.03	0.40	64.37	0.98	13.20	0.17	0.87602
08	Ra-226	mydet	GR-HV	110	183	21.2	7829.94	0.36	61.49	0.89	13.24	0.16	0.88796
09	Ra-226	mydet	GR-HV	120	194	21.2	4869.28	0.49	70.34	1.22	12.52	0.18	0.83980
09	Ra-226	mydet	GR-HV	120	194	21.2	5399.42	0.82	67.08	2.05	7.86	0.20	0.81216
09	Ra-226	mydet	GR-HV	120	194	21.2	5589.92	0.82	61.35	2.05	12.56	0.20	0.81216
09	Ra-226	mydet	GR-HV	120	194	21.2	6115.14	0.38	62.36	0.93	13.71	0.17	0.88086
09	Ra-226	mydet	GR-HV	120	194	21.2	7827.17	0.36	59.02	0.89	13.81	0.17	0.88125
10	Ra-226	mydet	GR-HV	140	223	21.2	4865.76	0.53	78.65	1.33	11.12	0.16	0.83956
10	Ra-226	mydet	GR-HV	140	223	21.2	5395.33	0.83	73.98	2.08	7.68	0.18	0.81806
10	Ra-226	mydet	GR-HV	140	223	21.2	5586.59	0.83	68.74	2.08	11.55	0.18	0.81806
10	Ra-226	mydet	GR-HV	140	223	21.2	6109.35	0.48	70.47	1.19	12.33	0.17	0.84768
10	Ra-226	mydet	GR-HV	140	223	21.2	7823.75	0.39	66.00	0.97	12.93	0.16	0.88239
11	Ra-226	mydet	GR-HV	160	249	21.2	4862.05	0.58	81.30	1.46	11.13	0.17	0.81786
11	Ra-226	mydet	GR-HV	160	249	21.2	5391.65	0.99	84.46	2.49	6.85	0.17	0.79673
11	Ra-226	mydet	GR-HV	160	249	21.2	5582.72	0.99	79.46	2.49	10.36	0.17	0.79673
11	Ra-226	mydet	GR-HV	160	249	21.2	6105.49	0.48	82.24	1.19	11.22	0.14	0.87448
11	Ra-226	mydet	GR-HV	160	249	21.2	7817.65	0.46	77.13	1.14	10.74	0.13	0.87178
12	Ra-226	mydet	GR-HV	200	312	21.2	4855.02	0.84	112.36	2.13	7.74	0.12	0.76752
12	Ra-226	mydet	GR-HV	200	312	21.2	5384.87	1.42	107.10	3.60	5.33	0.15	0.73666
12	Ra-226	mydet	GR-HV	200	312	21.2	5575.27	1.42	104.93	3.60	7.89	0.15	0.73666
12	Ra-226	mydet	GR-HV	200	312	21.2	6097.94	0.77	113.20	1.94	8.07	0.11	0.80103
12	Ra-226	mydet	GR-HV	200	312	21.2	7803.58	0.73	106.41	1.84	8.24	0.12	0.80826
