SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
00	Ra-226	det3	vacuum	80	2.86	21.2	4869.92	0.67	91.05	1.67	9.44	0.14	0.79472
00	Ra-226	det3	vacuum	80	2.86	21.2	5404.01	1.25	99.08	3.16	6.12	0.16	0.76212
00	Ra-226	det3	vacuum	80	2.86	21.2	5590.54	1.25	85.05	3.16	9.78	0.16	0.76212
00	Ra-226	det3	vacuum	80	2.86	21.2	6116.13	0.63	89.93	1.58	9.35	0.14	0.81234
00	Ra-226	det3	vacuum	80	2.86	21.2	7824.66	0.60	87.28	1.51	10.75	0.15	0.81509
00	Ra-226	det3	vacuum	80	2.86	21.2	4869.92	0.69	94.18	1.74	9.16	0.14	0.78812
00	Ra-226	det3	vacuum	80	2.86	21.2	5403.63	1.13	95.33	2.85	6.17	0.15	0.76346
00	Ra-226	det3	vacuum	80	2.86	21.2	5592.93	1.13	87.48	2.85	8.91	0.15	0.76346
00	Ra-226	det3	vacuum	80	2.86	21.2	6114.92	0.68	89.59	1.71	9.25	0.15	0.78474
00	Ra-226	det3	vacuum	80	2.86	21.2	7824.28	0.67	90.06	1.68	10.49	0.16	0.79888
00	Ra-226	det3	vacuum	80	2.86	21.2	4867.10	0.70	94.20	1.77	9.06	0.14	0.78302
00	Ra-226	det3	vacuum	80	2.86	21.2	5403.46	1.10	95.03	2.76	6.44	0.16	0.76637
00	Ra-226	det3	vacuum	80	2.86	21.2	5593.17	1.10	88.02	2.76	8.99	0.16	0.76637
00	Ra-226	det3	vacuum	80	2.86	21.2	6112.29	0.65	92.32	1.63	9.11	0.13	0.80814
00	Ra-226	det3	vacuum	80	2.86	21.2	7822.34	0.63	93.30	1.59	10.27	0.14	0.82648
00	Ra-226	det3	vacuum	80	2.86	21.2	4868.69	0.66	85.30	1.65	9.92	0.16	0.78055
00	Ra-226	det3	vacuum	80	2.86	21.2	5405.02	1.21	102.64	3.08	5.92	0.15	0.77279
00	Ra-226	det3	vacuum	80	2.86	21.2	5590.23	1.21	91.86	3.08	9.01	0.15	0.77279
00	Ra-226	det3	vacuum	80	2.86	21.2	6118.19	0.69	93.71	1.73	9.28	0.14	0.79401
00	Ra-226	det3	vacuum	80	2.86	21.2	7821.08	0.64	94.56	1.62	10.40	0.15	0.82328
00	Ra-226	det3	vacuum	80	2.86	21.2	4870.59	0.72	93.47	1.81	9.09	0.15	0.77189
