Пик,Напряжение (В),Амплитуда,ΔАмплитуда
"4870,62 кэВ",400,8.88,0.14
"4870,62 кэВ",350,8.75,0.14
"4870,62 кэВ",300,8.35,0.14
"4870,62 кэВ",250,8.43,0.13
"4870,62 кэВ",200,8.69,0.14
"4870,62 кэВ",160,9.58,0.14
"4870,62 кэВ",140,9.13,0.14
"4870,62 кэВ",120,9.26,0.15
"4870,62 кэВ",110,9.21,0.15
"4870,62 кэВ",100,9.1,0.14
"4870,62 кэВ",90,9.09,0.14
"4870,62 кэВ",80,9.13,0.14
"4870,62 кэВ",70,9.61,0.15
"4870,62 кэВ",60,9.03,0.14
"4870,62 кэВ",50,9.68,0.17
"4870,62 кэВ",40,9.17,0.15
"5407,45 кэВ",400,6.05,0.16
"5407,45 кэВ",350,5.62,0.15
"5407,45 кэВ",300,6.35,0.15
"5407,45 кэВ",250,6.13,0.16
"5407,45 кэВ",200,5.69,0.14
"5407,45 кэВ",160,5.83,0.15
"5407,45 кэВ",140,6.16,0.17
"5407,45 кэВ",120,5.71,0.15
"5407,45 кэВ",110,6.33,0.15
"5407,45 кэВ",100,5.95,0.17
"5407,45 кэВ",90,6.51,0.15
"5407,45 кэВ",80,6.51,0.15
"5407,45 кэВ",70,5.9,0.16
"5407,45 кэВ",60,6.36,0.16
"5407,45 кэВ",50,6.0,0.16
"5407,45 кэВ",40,6.24,0.16
"5590,3 кэВ",400,8.5,0.16
"5590,3 кэВ",350,8.39,0.15
"5590,3 кэВ",300,8.45,0.15
"5590,3 кэВ",250,8.33,0.16
"5590,3 кэВ",200,8.38,0.14
"5590,3 кэВ",160,8.78,0.15
"5590,3 кэВ",140,8.65,0.17
"5590,3 кэВ",120,9.22,0.15
"5590,3 кэВ",110,8.83,0.15
"5590,3 кэВ",100,9.13,0.17
"5590,3 кэВ",90,8.19,0.15
"5590,3 кэВ",80,9.02,0.15
"5590,3 кэВ",70,8.37,0.16
"5590,3 кэВ",60,9.29,0.16
"5590,3 кэВ",50,9.05,0.16
"5590,3 кэВ",40,9.64,0.16
"6114,68 кэВ",400,8.82,0.13
"6114,68 кэВ",350,8.87,0.13
"6114,68 кэВ",300,9.34,0.13
"6114,68 кэВ",250,8.91,0.14
"6114,68 кэВ",200,9.16,0.13
"6114,68 кэВ",160,9.93,0.14
"6114,68 кэВ",140,9.33,0.15
"6114,68 кэВ",120,8.95,0.12
"6114,68 кэВ",110,8.9,0.14
"6114,68 кэВ",100,9.42,0.14
"6114,68 кэВ",90,8.96,0.13
"6114,68 кэВ",80,9.23,0.14
"6114,68 кэВ",70,9.08,0.15
"6114,68 кэВ",60,9.18,0.14
"6114,68 кэВ",50,9.69,0.13
"6114,68 кэВ",40,9.76,0.15
"7833,46 кэВ",400,8.94,0.13
"7833,46 кэВ",350,8.92,0.13
"7833,46 кэВ",300,8.65,0.13
"7833,46 кэВ",250,8.64,0.13
"7833,46 кэВ",200,8.61,0.12
"7833,46 кэВ",160,9.28,0.13
"7833,46 кэВ",140,9.18,0.13
"7833,46 кэВ",120,9.84,0.14
"7833,46 кэВ",110,9.23,0.14
"7833,46 кэВ",100,10.1,0.13
"7833,46 кэВ",90,10.25,0.14
"7833,46 кэВ",80,10.07,0.14
"7833,46 кэВ",70,10.1,0.14
"7833,46 кэВ",60,10.03,0.14
"7833,46 кэВ",50,9.4,0.15
"7833,46 кэВ",40,10.37,0.15
