Пик,Напряжение (В),ПШПВ (кэВ),ΔПШПВ (кэВ)
"4870,62 кэВ",400,94.21,1.8
"4870,62 кэВ",350,94.42,1.82
"4870,62 кэВ",300,98.0,2.02
"4870,62 кэВ",250,101.65,1.82
"4870,62 кэВ",200,96.03,1.88
"4870,62 кэВ",160,89.67,1.62
"4870,62 кэВ",140,93.36,1.77
"4870,62 кэВ",120,90.93,1.74
"4870,62 кэВ",110,89.36,1.75
"4870,62 кэВ",100,91.59,1.72
"4870,62 кэВ",90,94.05,1.75
"4870,62 кэВ",80,90.1,1.71
"4870,62 кэВ",70,86.93,1.65
"4870,62 кэВ",60,92.85,1.72
"4870,62 кэВ",50,85.69,1.76
"4870,62 кэВ",40,87.09,1.72
"5407,45 кэВ",400,94.7,3.08
"5407,45 кэВ",350,105.44,3.4
"5407,45 кэВ",300,94.73,2.74
"5407,45 кэВ",250,98.27,3.0
"5407,45 кэВ",200,103.33,3.16
"5407,45 кэВ",160,96.5,2.98
"5407,45 кэВ",140,95.65,3.08
"5407,45 кэВ",120,96.65,3.06
"5407,45 кэВ",110,96.97,2.81
"5407,45 кэВ",100,99.7,3.32
"5407,45 кэВ",90,92.15,2.62
"5407,45 кэВ",80,93.89,2.65
"5407,45 кэВ",70,97.3,3.1
"5407,45 кэВ",60,93.1,2.86
"5407,45 кэВ",50,96.42,3.01
"5407,45 кэВ",40,86.44,2.66
"5590,3 кэВ",400,90.2,3.08
"5590,3 кэВ",350,89.66,3.4
"5590,3 кэВ",300,86.67,2.74
"5590,3 кэВ",250,89.35,3.0
"5590,3 кэВ",200,87.48,3.16
"5590,3 кэВ",160,87.7,2.98
"5590,3 кэВ",140,83.65,3.08
"5590,3 кэВ",120,86.23,3.06
"5590,3 кэВ",110,85.13,2.81
"5590,3 кэВ",100,84.04,3.32
"5590,3 кэВ",90,86.26,2.62
"5590,3 кэВ",80,84.11,2.65
"5590,3 кэВ",70,88.06,3.1
"5590,3 кэВ",60,82.04,2.86
"5590,3 кэВ",50,83.94,3.01
"5590,3 кэВ",40,79.15,2.66
"6114,68 кэВ",400,95.28,1.75
"6114,68 кэВ",350,95.42,1.63
"6114,68 кэВ",300,89.41,1.55
"6114,68 кэВ",250,90.23,1.7
"6114,68 кэВ",200,92.78,1.64
"6114,68 кэВ",160,83.3,1.41
"6114,68 кэВ",140,86.84,1.65
"6114,68 кэВ",120,89.95,1.48
"6114,68 кэВ",110,88.7,1.7
"6114,68 кэВ",100,87.79,1.55
"6114,68 кэВ",90,85.72,1.55
"6114,68 кэВ",80,90.09,1.62
"6114,68 кэВ",70,84.6,1.64
"6114,68 кэВ",60,84.44,1.54
"6114,68 кэВ",50,81.52,1.35
"6114,68 кэВ",40,79.21,1.48
"7833,46 кэВ",400,88.47,1.5
"7833,46 кэВ",350,90.42,1.58
"7833,46 кэВ",300,90.64,1.66
"7833,46 кэВ",250,92.54,1.7
"7833,46 кэВ",200,92.37,1.61
"7833,46 кэВ",160,89.94,1.58
"7833,46 кэВ",140,87.29,1.5
"7833,46 кэВ",120,83.02,1.39
"7833,46 кэВ",110,87.3,1.55
"7833,46 кэВ",100,86.73,1.36
"7833,46 кэВ",90,83.11,1.4
"7833,46 кэВ",80,87.81,1.51
"7833,46 кэВ",70,82.41,1.34
"7833,46 кэВ",60,88.81,1.55
"7833,46 кэВ",50,89.01,1.66
"7833,46 кэВ",40,79.13,1.39
