Пик,Напряжение (В),Нормированная энергия,Нормированная ΔЭнергия
"4870,62 кэВ",400,0.9835327526440267,0.00014794632014350793
"4870,62 кэВ",350,0.9841142638745908,0.0001500011301455011
"4870,62 кэВ",300,0.9867156533371141,0.00016438480015945327
"4870,62 кэВ",250,0.9899334858002355,0.0001500011301455011
"4870,62 кэВ",200,0.9931944692733986,0.00015411075014948742
"4870,62 кэВ",160,0.9957403788658681,0.00013356265012955576
"4870,62 кэВ",140,0.9966321664067331,0.00014589151014151474
"4870,62 кэВ",120,0.997283541177365,0.00014178189013752841
"4870,62 кэВ",110,0.9980109439180705,0.00014383670013952158
"4870,62 кэВ",100,0.998183547958238,0.00014178189013752841
"4870,62 кэВ",90,0.9988883477889218,0.00014383670013952158
"4870,62 кэВ",80,0.9993239675093443,0.00013972708013553528
"4870,62 кэВ",70,0.9997698612797767,0.00013561746013154895
"4870,62 кэВ",60,1.0,0.00014178189013752841
"4870,62 кэВ",50,0.9998335603898385,0.00014383670013952158
"4870,62 кэВ",40,0.9961780533962926,0.00014178189013752841
"5407,45 кэВ",400,0.9827991862378681,0.00022583935417349276
"5407,45 кэВ",350,0.9847040116103641,0.0002462019188940536
"5407,45 кэВ",300,0.9868735503242276,0.00020177450495828455
"5407,45 кэВ",250,0.9900167898601834,0.00022028592743152163
"5407,45 кэВ",200,0.9929638083179227,0.00022954163866814017
"5407,45 кэВ",160,0.9953258658255076,0.00021843478518419792
"5407,45 кэВ",140,0.9968475047528078,0.00022583935417349276
"5407,45 кэВ",120,0.9983006514169569,0.00022398821192616905
"5407,45 кэВ",110,0.9980563006403101,0.00020547678945293196
"5407,45 кэВ",100,0.9985172350598939,0.0002424996343994062
"5407,45 кэВ",90,0.9987597346942931,0.00019251879372166598
"5407,45 кэВ",80,0.9998204392020097,0.00019436993596898969
"5407,45 кэВ",70,0.9996982638136862,0.00022769049642081647
"5407,45 кэВ",60,1.0,0.00021103021619490306
"5407,45 кэВ",50,0.9994983404509753,0.00022028592743152163
"5407,45 кэВ",40,0.9963328872080518,0.0001962210782163134
"5590,3 кэВ",400,0.9828273502805451,0.00021828123210809573
"5590,3 кэВ",350,0.9844286757128136,0.00023796232680636667
"5590,3 кэВ",300,0.9866580069849995,0.00019502175655559376
"5590,3 кэВ",250,0.9900968309859156,0.0002129136608267491
"5590,3 кэВ",200,0.9930060546204054,0.00022185961296232682
"5590,3 кэВ",160,0.9952067588457575,0.00021112447039963356
"5590,3 кэВ",140,0.9963929920989351,0.00021828123210809573
"5590,3 кэВ",120,0.9978476039161801,0.0002164920416809802
"5590,3 кэВ",110,0.9979621121035154,0.00019860013740982481
"5590,3 кэВ",100,0.9989390100767205,0.0002343839459521356
"5590,3 кэВ",90,0.9990982480247338,0.00018607580442001604
"5590,3 кэВ",80,0.9996045889156074,0.00018786499484713158
"5590,3 кэВ",70,0.9996904700561091,0.00022007042253521127
"5590,3 кэВ",60,1.0,0.00020396770869117141
"5590,3 кэВ",50,0.9994560861101569,0.0002129136608267491
"5590,3 кэВ",40,0.996360786671247,0.00018965418527424713
"6114,68 кэВ",400,0.9826907598987062,0.00011451155912395384
"6114,68 кэВ",350,0.9838571419223545,0.00010633216204367143
"6114,68 кэВ",300,0.9865743376324245,0.00010142452379550198
"6114,68 кэВ",250,0.9901372830005954,0.00011123980029184089
"6114,68 кэВ",200,0.9926352708689137,0.00010796804145972792
"6114,68 кэВ",160,0.9951757916020495,9.160924729916309e-05
"6114,68 кэВ",140,0.9962603796548949,0.00010796804145972792
"6114,68 кэВ",120,0.9974251257991271,9.651688554733253e-05
"6114,68 кэВ",110,0.998059847012557,0.00011123980029184089
"6114,68 кэВ",100,0.9984181046046734,0.00010142452379550198
"6114,68 кэВ",90,0.9989530371737239,0.00010142452379550198
"6114,68 кэВ",80,0.9995206873310954,0.00010469628262761496
"6114,68 кэВ",70,0.9994732468280297,0.00010796804145972792
"6114,68 кэВ",60,1.0,0.00010142452379550198
"6114,68 кэВ",50,0.9988532485293443,8.833748846705012e-05
"6114,68 кэВ",40,0.9961949444782526,9.651688554733253e-05
"7833,46 кэВ",400,0.9825649181300306,7.670515560919234e-05
"7833,46 кэВ",350,0.9836733076285834,8.054041338965196e-05
"7833,46 кэВ",300,0.9864679321312784,8.437567117011159e-05
"7833,46 кэВ",250,0.9898800331366272,8.6932509690418e-05
"7833,46 кэВ",200,0.992981478261759,8.181883264980518e-05
"7833,46 кэВ",160,0.9952864681878152,8.054041338965196e-05
"7833,46 кэВ",140,0.9965214211931231,7.670515560919234e-05
"7833,46 кэВ",120,0.9978049541303169,7.159147856857953e-05
"7833,46 кэВ",110,0.9983789643781257,7.926199412949876e-05
"7833,46 кэВ",100,0.998522147335263,6.903464004827312e-05
"7833,46 кэВ",90,0.9991524080305184,7.159147856857953e-05
"7833,46 кэВ",80,0.999590905836751,7.670515560919234e-05
"7833,46 кэВ",70,0.999790339241335,6.775622078811992e-05
"7833,46 кэВ",60,1.0,7.926199412949876e-05
"7833,46 кэВ",50,0.9989274062407315,8.437567117011159e-05
"7833,46 кэВ",40,0.9966019616065128,7.159147856857953e-05
