Пик,Напряжение (В),Энергия (кэВ),ΔЭнергия (кэВ)
"4870,62 кэВ",400,4786.49,0.72
"4870,62 кэВ",350,4789.32,0.73
"4870,62 кэВ",300,4801.98,0.8
"4870,62 кэВ",250,4817.64,0.73
"4870,62 кэВ",200,4833.51,0.75
"4870,62 кэВ",160,4845.9,0.65
"4870,62 кэВ",140,4850.24,0.71
"4870,62 кэВ",120,4853.41,0.69
"4870,62 кэВ",110,4856.95,0.7
"4870,62 кэВ",100,4857.79,0.69
"4870,62 кэВ",90,4861.22,0.7
"4870,62 кэВ",80,4863.34,0.68
"4870,62 кэВ",70,4865.51,0.66
"4870,62 кэВ",60,4866.63,0.69
"4870,62 кэВ",50,4865.82,0.7
"4870,62 кэВ",40,4848.03,0.69
"5407,45 кэВ",400,5309.15,1.22
"5407,45 кэВ",350,5319.44,1.33
"5407,45 кэВ",300,5331.16,1.09
"5407,45 кэВ",250,5348.14,1.19
"5407,45 кэВ",200,5364.06,1.24
"5407,45 кэВ",160,5376.82,1.18
"5407,45 кэВ",140,5385.04,1.22
"5407,45 кэВ",120,5392.89,1.21
"5407,45 кэВ",110,5391.57,1.11
"5407,45 кэВ",100,5394.06,1.31
"5407,45 кэВ",90,5395.37,1.04
"5407,45 кэВ",80,5401.1,1.05
"5407,45 кэВ",70,5400.44,1.23
"5407,45 кэВ",60,5402.07,1.14
"5407,45 кэВ",50,5399.36,1.19
"5407,45 кэВ",40,5382.26,1.06
"5590,3 кэВ",400,5493.14,1.22
"5590,3 кэВ",350,5502.09,1.33
"5590,3 кэВ",300,5514.55,1.09
"5590,3 кэВ",250,5533.77,1.19
"5590,3 кэВ",200,5550.03,1.24
"5590,3 кэВ",160,5562.33,1.18
"5590,3 кэВ",140,5568.96,1.22
"5590,3 кэВ",120,5577.09,1.21
"5590,3 кэВ",110,5577.73,1.11
"5590,3 кэВ",100,5583.19,1.31
"5590,3 кэВ",90,5584.08,1.04
"5590,3 кэВ",80,5586.91,1.05
"5590,3 кэВ",70,5587.39,1.23
"5590,3 кэВ",60,5589.12,1.14
"5590,3 кэВ",50,5586.08,1.19
"5590,3 кэВ",40,5568.78,1.06
"6114,68 кэВ",400,6007.11,0.7
"6114,68 кэВ",350,6014.24,0.65
"6114,68 кэВ",300,6030.85,0.62
"6114,68 кэВ",250,6052.63,0.68
"6114,68 кэВ",200,6067.9,0.66
"6114,68 кэВ",160,6083.43,0.56
"6114,68 кэВ",140,6090.06,0.66
"6114,68 кэВ",120,6097.18,0.59
"6114,68 кэВ",110,6101.06,0.68
"6114,68 кэВ",100,6103.25,0.62
"6114,68 кэВ",90,6106.52,0.62
"6114,68 кэВ",80,6109.99,0.64
"6114,68 кэВ",70,6109.7,0.66
"6114,68 кэВ",60,6112.92,0.62
"6114,68 кэВ",50,6105.91,0.54
"6114,68 кэВ",40,6089.66,0.59
"7833,46 кэВ",400,7685.78,0.6
"7833,46 кэВ",350,7694.45,0.63
"7833,46 кэВ",300,7716.31,0.66
"7833,46 кэВ",250,7743.0,0.68
"7833,46 кэВ",200,7767.26,0.64
"7833,46 кэВ",160,7785.29,0.63
"7833,46 кэВ",140,7794.95,0.6
"7833,46 кэВ",120,7804.99,0.56
"7833,46 кэВ",110,7809.48,0.62
"7833,46 кэВ",100,7810.6,0.54
"7833,46 кэВ",90,7815.53,0.56
"7833,46 кэВ",80,7818.96,0.6
"7833,46 кэВ",70,7820.52,0.53
"7833,46 кэВ",60,7822.16,0.62
"7833,46 кэВ",50,7813.77,0.66
"7833,46 кэВ",40,7795.58,0.56
