SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det3	vacuum	400	5.19	21.2	4786.49	0.72	94.21	1.80	8.88	0.14	0.77519
01	Ra-226	det3	vacuum	400	5.19	21.2	5309.15	1.22	94.70	3.08	6.05	0.16	0.73077
01	Ra-226	det3	vacuum	400	5.19	21.2	5493.14	1.22	90.20	3.08	8.50	0.16	0.73077
01	Ra-226	det3	vacuum	400	5.19	21.2	6007.11	0.70	95.28	1.75	8.82	0.13	0.79345
01	Ra-226	det3	vacuum	400	5.19	21.2	7685.78	0.60	88.47	1.50	8.94	0.13	0.82476
02	Ra-226	det3	vacuum	350	4.68	21.2	4789.32	0.73	94.42	1.82	8.75	0.14	0.77258
02	Ra-226	det3	vacuum	350	4.68	21.2	5319.44	1.33	105.44	3.40	5.62	0.15	0.73838
02	Ra-226	det3	vacuum	350	4.68	21.2	5502.09	1.33	89.66	3.40	8.39	0.15	0.73838
02	Ra-226	det3	vacuum	350	4.68	21.2	6014.24	0.65	95.42	1.63	8.87	0.13	0.81486
02	Ra-226	det3	vacuum	350	4.68	21.2	7694.45	0.63	90.42	1.58	8.92	0.13	0.81354
03	Ra-226	det3	vacuum	300	4.50	21.2	4801.98	0.80	98.00	2.02	8.35	0.14	0.74585
03	Ra-226	det3	vacuum	300	4.50	21.2	5331.16	1.09	94.73	2.74	6.35	0.15	0.75796
03	Ra-226	det3	vacuum	300	4.50	21.2	5514.55	1.09	86.67	2.74	8.45	0.15	0.75796
03	Ra-226	det3	vacuum	300	4.50	21.2	6030.85	0.62	89.41	1.55	9.34	0.13	0.81392
03	Ra-226	det3	vacuum	300	4.50	21.2	7716.31	0.66	90.64	1.66	8.65	0.13	0.80012
04	Ra-226	det3	vacuum	250	4.33	21.2	4817.64	0.73	101.65	1.82	8.43	0.13	0.78971
04	Ra-226	det3	vacuum	250	4.33	21.2	5348.14	1.19	98.27	3.00	6.13	0.16	0.74034
04	Ra-226	det3	vacuum	250	4.33	21.2	5533.77	1.19	89.35	3.00	8.33	0.16	0.74034
04	Ra-226	det3	vacuum	250	4.33	21.2	6052.63	0.68	90.23	1.70	8.91	0.14	0.78963
04	Ra-226	det3	vacuum	250	4.33	21.2	7743.00	0.68	92.54	1.70	8.64	0.13	0.79543
05	Ra-226	det3	vacuum	200	4.14	21.2	4833.51	0.75	96.03	1.88	8.69	0.14	0.76679
05	Ra-226	det3	vacuum	200	4.14	21.2	5364.06	1.24	103.33	3.16	5.69	0.14	0.75143
05	Ra-226	det3	vacuum	200	4.14	21.2	5550.03	1.24	87.48	3.16	8.38	0.14	0.75143
05	Ra-226	det3	vacuum	200	4.14	21.2	6067.90	0.66	92.78	1.64	9.16	0.13	0.80555
05	Ra-226	det3	vacuum	200	4.14	21.2	7767.26	0.64	92.37	1.61	8.61	0.12	0.81130
06	Ra-226	det3	vacuum	160	3.95	21.2	4845.90	0.65	89.67	1.62	9.58	0.14	0.80038
06	Ra-226	det3	vacuum	160	3.95	21.2	5376.82	1.18	96.50	2.98	5.83	0.15	0.76354
06	Ra-226	det3	vacuum	160	3.95	21.2	5562.33	1.18	87.70	2.98	8.78	0.15	0.76354
