Пик,Напряжение (В),Амплитуда,ΔАмплитуда
"4870,62 кэВ",40,21.04,0.28
"4870,62 кэВ",50,20.43,0.26
"4870,62 кэВ",60,20.89,0.29
"4870,62 кэВ",70,21.16,0.27
"4870,62 кэВ",80,20.92,0.27
"4870,62 кэВ",90,19.91,0.25
"4870,62 кэВ",100,20.15,0.25
"4870,62 кэВ",110,20.74,0.25
"4870,62 кэВ",120,19.35,0.24
"4870,62 кэВ",140,20.14,0.26
"4870,62 кэВ",160,19.07,0.25
"4870,62 кэВ",200,19.85,0.27
"4870,62 кэВ",250,20.39,0.27
"4870,62 кэВ",300,20.08,0.26
"4870,62 кэВ",350,20.82,0.27
"4870,62 кэВ",400,20.71,0.24
"5407,45 кэВ",40,13.65,0.25
"5407,45 кэВ",50,14.37,0.25
"5407,45 кэВ",60,14.02,0.26
"5407,45 кэВ",70,14.13,0.28
"5407,45 кэВ",80,14.41,0.27
"5407,45 кэВ",90,14.28,0.25
"5407,45 кэВ",100,13.1,0.24
"5407,45 кэВ",110,14.87,0.27
"5407,45 кэВ",120,14.44,0.26
"5407,45 кэВ",140,14.11,0.25
"5407,45 кэВ",160,12.83,0.24
"5407,45 кэВ",200,14.76,0.29
"5407,45 кэВ",250,13.78,0.27
"5407,45 кэВ",300,13.83,0.27
"5407,45 кэВ",350,13.96,0.26
"5407,45 кэВ",400,14.1,0.27
"5590,3 кэВ",40,21.68,0.25
"5590,3 кэВ",50,20.97,0.25
"5590,3 кэВ",60,20.1,0.26
"5590,3 кэВ",70,20.5,0.28
"5590,3 кэВ",80,21.82,0.27
"5590,3 кэВ",90,20.99,0.25
"5590,3 кэВ",100,20.75,0.24
"5590,3 кэВ",110,21.29,0.27
"5590,3 кэВ",120,19.22,0.26
"5590,3 кэВ",140,19.7,0.25
"5590,3 кэВ",160,18.61,0.24
"5590,3 кэВ",200,21.27,0.29
"5590,3 кэВ",250,20.57,0.27
"5590,3 кэВ",300,21.09,0.27
"5590,3 кэВ",350,21.3,0.26
"5590,3 кэВ",400,20.87,0.27
"6114,68 кэВ",40,22.62,0.25
"6114,68 кэВ",50,21.6,0.26
"6114,68 кэВ",60,21.7,0.24
"6114,68 кэВ",70,22.39,0.26
"6114,68 кэВ",80,24.08,0.27
"6114,68 кэВ",90,22.82,0.27
"6114,68 кэВ",100,22.68,0.26
"6114,68 кэВ",110,21.75,0.25
"6114,68 кэВ",120,21.93,0.25
"6114,68 кэВ",140,21.39,0.25
"6114,68 кэВ",160,21.2,0.25
"6114,68 кэВ",200,22.07,0.25
"6114,68 кэВ",250,22.0,0.25
"6114,68 кэВ",300,22.46,0.25
"6114,68 кэВ",350,23.91,0.27
"6114,68 кэВ",400,23.59,0.24
"7833,46 кэВ",40,24.05,0.26
"7833,46 кэВ",50,23.04,0.24
"7833,46 кэВ",60,24.33,0.26
"7833,46 кэВ",70,24.25,0.28
"7833,46 кэВ",80,24.73,0.26
"7833,46 кэВ",90,24.32,0.27
"7833,46 кэВ",100,24.0,0.27
"7833,46 кэВ",110,22.72,0.24
"7833,46 кэВ",120,23.64,0.25
"7833,46 кэВ",140,22.38,0.25
"7833,46 кэВ",160,20.9,0.25
"7833,46 кэВ",200,23.61,0.26
"7833,46 кэВ",250,25.48,0.29
"7833,46 кэВ",300,24.72,0.29
"7833,46 кэВ",350,25.02,0.26
"7833,46 кэВ",400,24.57,0.28
