Пик,Напряжение (В),ПШПВ (кэВ),ΔПШПВ (кэВ)
"4870,62 кэВ",40,64.51,1.03
"4870,62 кэВ",50,64.85,1.0
"4870,62 кэВ",60,64.65,1.08
"4870,62 кэВ",70,66.19,1.01
"4870,62 кэВ",80,65.59,0.99
"4870,62 кэВ",90,67.08,1.01
"4870,62 кэВ",100,65.59,0.96
"4870,62 кэВ",110,65.37,0.94
"4870,62 кэВ",120,68.87,1.04
"4870,62 кэВ",140,66.91,1.01
"4870,62 кэВ",160,71.2,1.11
"4870,62 кэВ",200,66.56,1.08
"4870,62 кэВ",250,66.37,1.06
"4870,62 кэВ",300,65.75,1.02
"4870,62 кэВ",350,64.09,1.01
"4870,62 кэВ",400,65.74,0.93
"5407,45 кэВ",40,62.75,1.36
"5407,45 кэВ",50,62.11,1.3
"5407,45 кэВ",60,60.71,1.36
"5407,45 кэВ",70,60.69,1.43
"5407,45 кэВ",80,59.73,1.35
"5407,45 кэВ",90,59.3,1.24
"5407,45 кэВ",100,62.19,1.38
"5407,45 кэВ",110,59.71,1.28
"5407,45 кэВ",120,62.82,1.35
"5407,45 кэВ",140,63.37,1.33
"5407,45 кэВ",160,69.0,1.55
"5407,45 кэВ",200,56.75,1.33
"5407,45 кэВ",250,59.48,1.38
"5407,45 кэВ",300,61.47,1.44
"5407,45 кэВ",350,60.9,1.38
"5407,45 кэВ",400,60.01,1.39
"5590,3 кэВ",40,56.62,1.36
"5590,3 кэВ",50,56.47,1.3
"5590,3 кэВ",60,57.35,1.36
"5590,3 кэВ",70,56.92,1.43
"5590,3 кэВ",80,57.06,1.35
"5590,3 кэВ",90,56.6,1.24
"5590,3 кэВ",100,55.82,1.38
"5590,3 кэВ",110,54.41,1.28
"5590,3 кэВ",120,63.11,1.35
"5590,3 кэВ",140,59.69,1.33
"5590,3 кэВ",160,65.63,1.55
"5590,3 кэВ",200,54.45,1.33
"5590,3 кэВ",250,54.38,1.38
"5590,3 кэВ",300,55.35,1.44
"5590,3 кэВ",350,55.22,1.38
"5590,3 кэВ",400,55.81,1.39
"6114,68 кэВ",40,56.12,0.75
"6114,68 кэВ",50,55.03,0.77
"6114,68 кэВ",60,57.46,0.75
"6114,68 кэВ",70,54.34,0.75
"6114,68 кэВ",80,52.01,0.71
"6114,68 кэВ",90,55.62,0.79
"6114,68 кэВ",100,56.71,0.76
"6114,68 кэВ",110,56.38,0.77
"6114,68 кэВ",120,57.93,0.79
"6114,68 кэВ",140,58.88,0.82
"6114,68 кэВ",160,61.2,0.86
"6114,68 кэВ",200,58.92,0.81
"6114,68 кэВ",250,58.36,0.78
"6114,68 кэВ",300,59.18,0.77
"6114,68 кэВ",350,56.39,0.75
"6114,68 кэВ",400,56.84,0.7
"7833,46 кэВ",40,50.35,0.64
"7833,46 кэВ",50,50.69,0.63
"7833,46 кэВ",60,50.09,0.63
"7833,46 кэВ",70,47.81,0.66
"7833,46 кэВ",80,49.6,0.62
"7833,46 кэВ",90,50.22,0.66
"7833,46 кэВ",100,51.28,0.68
"7833,46 кэВ",110,52.81,0.67
"7833,46 кэВ",120,53.17,0.66
"7833,46 кэВ",140,56.29,0.74
"7833,46 кэВ",160,61.24,0.86
"7833,46 кэВ",200,50.53,0.67
"7833,46 кэВ",250,50.05,0.67
"7833,46 кэВ",300,52.18,0.73
"7833,46 кэВ",350,50.61,0.64
"7833,46 кэВ",400,52.3,0.71
