Пик,Напряжение (В),Нормированная энергия,Нормированная ΔЭнергия
"4870,62 кэВ",40,0.9958409059136027,8.6347974112055e-05
"4870,62 кэВ",50,0.9987027244841735,8.223616582100477e-05
"4870,62 кэВ",60,0.9996258254455145,8.840387825758012e-05
"4870,62 кэВ",70,1.0,8.429206996652988e-05
"4870,62 кэВ",80,0.9996114341164957,8.223616582100477e-05
"4870,62 кэВ",90,0.9995744278418763,8.429206996652988e-05
"4870,62 кэВ",100,0.9991838060542265,8.018026167547965e-05
"4870,62 кэВ",110,0.9996443285828243,7.812435752995452e-05
"4870,62 кэВ",120,0.9988918676655619,8.6347974112055e-05
"4870,62 кэВ",140,0.998567034810569,8.429206996652988e-05
"4870,62 кэВ",160,0.9973047096652167,9.251568654863036e-05
"4870,62 кэВ",200,0.9955756942788301,9.045978240310524e-05
"4870,62 кэВ",250,0.9926460308714568,8.840387825758012e-05
"4870,62 кэВ",300,0.9892846275935231,8.429206996652988e-05
"4870,62 кэВ",350,0.9850350737247227,8.429206996652988e-05
"4870,62 кэВ",400,0.9807546812937394,7.812435752995452e-05
"5407,45 кэВ",40,0.9961945697585015,0.00010189808338968607
"5407,45 кэВ",50,0.9990236310918842,9.819269853915203e-05
"5407,45 кэВ",60,1.0,0.00010189808338968607
"5407,45 кэВ",70,0.9999221869181387,0.00010745616066548711
"5407,45 кэВ",80,0.9999407138423914,0.00010189808338968607
"5407,45 кэВ",90,0.9995998184361423,9.263462126335097e-05
"5407,45 кэВ",100,0.999729506905911,0.0001037507758149531
"5407,45 кэВ",110,0.9995034784300284,9.634000611388501e-05
"5407,45 кэВ",120,0.9992107530268363,0.00010189808338968607
"5407,45 кэВ",140,0.9987735176144733,0.00010004539096441905
"5407,45 кэВ",160,0.9975136867652916,0.0001148669303665552
"5407,45 кэВ",200,0.9956739631870014,0.00010004539096441905
"5407,45 кэВ",250,0.9925836722216562,0.0001037507758149531
"5407,45 кэВ",300,0.9890820835379014,0.00010745616066548711
"5407,45 кэВ",350,0.9854545117692286,0.0001037507758149531
"5407,45 кэВ",400,0.9807764633954293,0.0001037507758149531
"5590,3 кэВ",40,0.9958013034385661,9.839297438383637e-05
"5590,3 кэВ",50,0.9986511217693561,9.481504804260595e-05
"5590,3 кэВ",60,1.0,9.839297438383637e-05
"5590,3 кэВ",70,0.9999892662209764,0.00010375986389568197
"5590,3 кэВ",80,0.9998014250880618,9.839297438383637e-05
"5590,3 кэВ",90,0.9997817464931849,8.944815853076033e-05
"5590,3 кэВ",100,0.999348817405896,0.00010018193755445158
"5590,3 кэВ",110,0.9990894177461568,9.302608487199074e-05
"5590,3 кэВ",120,0.999107307377863,9.839297438383637e-05
"5590,3 кэВ",140,0.9983935110727876,9.660401121322116e-05
"5590,3 кэВ",160,0.997601000388205,0.0001109157165781428
"5590,3 кэВ",200,0.9955097024417557,9.660401121322116e-05
"5590,3 кэВ",250,0.992482776757075,0.00010018193755445158
"5590,3 кэВ",300,0.9890300778377876,0.00010375986389568197
"5590,3 кэВ",350,0.9847902351234296,0.00010018193755445158
"5590,3 кэВ",400,0.9805217689983416,0.00010018193755445158
"6114,68 кэВ",40,0.9957333490267621,5.067669738328421e-05
"6114,68 кэВ",50,0.9986366333671722,5.067669738328421e-05
"6114,68 кэВ",60,1.0,4.904196520962988e-05
"6114,68 кэВ",70,0.999797293210467,4.904196520962988e-05
"6114,68 кэВ",80,0.9996959398157004,4.740723303597555e-05
"6114,68 кэВ",90,0.9995864127600655,5.2311429556938537e-05
"6114,68 кэВ",100,0.9993444723983645,5.067669738328421e-05
"6114,68 кэВ",110,0.9991319572157895,5.067669738328421e-05
"6114,68 кэВ",120,0.9990371427497176,5.2311429556938537e-05
"6114,68 кэВ",140,0.9982688186281,5.394616173059287e-05
"6114,68 кэВ",160,0.9974759735238777,5.7215626077901525e-05
"6114,68 кэВ",200,0.9955159296476661,5.394616173059287e-05
"6114,68 кэВ",250,0.9924181121785912,5.2311429556938537e-05
"6114,68 кэВ",300,0.9887007312157013,5.067669738328421e-05
"6114,68 кэВ",350,0.9847659308737153,4.904196520962988e-05
"6114,68 кэВ",400,0.9803848486483218,4.5772500862321224e-05
"7833,46 кэВ",40,0.9957897181829553,3.318197248959235e-05
"7833,46 кэВ",50,0.9986778260192609,3.318197248959235e-05
"7833,46 кэВ",60,0.9999208737579095,3.318197248959235e-05
"7833,46 кэВ",70,1.0,3.445820220073052e-05
"7833,46 кэВ",80,0.9997651737331505,3.190574277845418e-05
"7833,46 кэВ",90,0.9998226040701518,3.445820220073052e-05
"7833,46 кэВ",100,0.999749858976617,3.5734431911868684e-05
"7833,46 кэВ",110,0.9992585105378288,3.445820220073052e-05
"7833,46 кэВ",120,0.999113020350759,3.445820220073052e-05
"7833,46 кэВ",140,0.9984876677923012,3.8286891334145014e-05
"7833,46 кэВ",160,0.9974705127125242,4.4668039889835846e-05
"7833,46 кэВ",200,0.995566377983506,3.445820220073052e-05
"7833,46 кэВ",250,0.9924970455282187,3.445820220073052e-05
"7833,46 кэВ",300,0.9887206818129609,3.8286891334145014e-05
"7833,46 кэВ",350,0.9849149648143469,3.318197248959235e-05
"7833,46 кэВ",400,0.9803869017992286,3.701066162300685e-05
