Пик,Напряжение (В),Энергия (кэВ),ΔЭнергия (кэВ)
"4870,62 кэВ",40,4843.81,0.42
"4870,62 кэВ",50,4857.73,0.4
"4870,62 кэВ",60,4862.22,0.43
"4870,62 кэВ",70,4864.04,0.41
"4870,62 кэВ",80,4862.15,0.4
"4870,62 кэВ",90,4861.97,0.41
"4870,62 кэВ",100,4860.07,0.39
"4870,62 кэВ",110,4862.31,0.38
"4870,62 кэВ",120,4858.65,0.42
"4870,62 кэВ",140,4857.07,0.41
"4870,62 кэВ",160,4850.93,0.45
"4870,62 кэВ",200,4842.52,0.44
"4870,62 кэВ",250,4828.27,0.43
"4870,62 кэВ",300,4811.92,0.41
"4870,62 кэВ",350,4791.25,0.41
"4870,62 кэВ",400,4770.43,0.38
"5407,45 кэВ",40,5377.01,0.55
"5407,45 кэВ",50,5392.28,0.53
"5407,45 кэВ",60,5397.55,0.55
"5407,45 кэВ",70,5397.13,0.58
"5407,45 кэВ",80,5397.23,0.55
"5407,45 кэВ",90,5395.39,0.5
"5407,45 кэВ",100,5396.09,0.56
"5407,45 кэВ",110,5394.87,0.52
"5407,45 кэВ",120,5393.29,0.55
"5407,45 кэВ",140,5390.93,0.54
"5407,45 кэВ",160,5384.13,0.62
"5407,45 кэВ",200,5374.2,0.54
"5407,45 кэВ",250,5357.52,0.56
"5407,45 кэВ",300,5338.62,0.58
"5407,45 кэВ",350,5319.04,0.56
"5407,45 кэВ",400,5293.79,0.56
"5590,3 кэВ",40,5566.36,0.55
"5590,3 кэВ",50,5582.29,0.53
"5590,3 кэВ",60,5589.83,0.55
"5590,3 кэВ",70,5589.77,0.58
"5590,3 кэВ",80,5588.72,0.55
"5590,3 кэВ",90,5588.61,0.5
"5590,3 кэВ",100,5586.19,0.56
"5590,3 кэВ",110,5584.74,0.52
"5590,3 кэВ",120,5584.84,0.55
"5590,3 кэВ",140,5580.85,0.54
"5590,3 кэВ",160,5576.42,0.62
"5590,3 кэВ",200,5564.73,0.54
"5590,3 кэВ",250,5547.81,0.56
"5590,3 кэВ",300,5528.51,0.58
"5590,3 кэВ",350,5504.81,0.56
"5590,3 кэВ",400,5480.95,0.56
"6114,68 кэВ",40,6091.11,0.31
"6114,68 кэВ",50,6108.87,0.31
"6114,68 кэВ",60,6117.21,0.3
"6114,68 кэВ",70,6115.97,0.3
"6114,68 кэВ",80,6115.35,0.29
"6114,68 кэВ",90,6114.68,0.32
"6114,68 кэВ",100,6113.2,0.31
"6114,68 кэВ",110,6111.9,0.31
"6114,68 кэВ",120,6111.32,0.32
"6114,68 кэВ",140,6106.62,0.33
"6114,68 кэВ",160,6101.77,0.35
"6114,68 кэВ",200,6089.78,0.33
"6114,68 кэВ",250,6070.83,0.32
"6114,68 кэВ",300,6048.09,0.31
"6114,68 кэВ",350,6024.02,0.3
"6114,68 кэВ",400,5997.22,0.28
"7833,46 кэВ",40,7802.59,0.26
"7833,46 кэВ",50,7825.22,0.26
"7833,46 кэВ",60,7834.96,0.26
"7833,46 кэВ",70,7835.58,0.27
"7833,46 кэВ",80,7833.74,0.25
"7833,46 кэВ",90,7834.19,0.27
"7833,46 кэВ",100,7833.62,0.28
"7833,46 кэВ",110,7829.77,0.27
"7833,46 кэВ",120,7828.63,0.27
"7833,46 кэВ",140,7823.73,0.3
"7833,46 кэВ",160,7815.76,0.35
"7833,46 кэВ",200,7800.84,0.27
"7833,46 кэВ",250,7776.79,0.27
"7833,46 кэВ",300,7747.2,0.3
"7833,46 кэВ",350,7717.38,0.26
"7833,46 кэВ",400,7681.9,0.29
