SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det4	HV-CSU	40	0	21.4	4843.81	0.42	64.51	1.03	21.04	0.28	0.86513
01	Ra-226	det4	HV-CSU	40	0	21.4	5377.01	0.55	62.75	1.36	13.65	0.25	0.89696
01	Ra-226	det4	HV-CSU	40	0	21.4	5566.36	0.55	56.62	1.36	21.68	0.25	0.89696
01	Ra-226	det4	HV-CSU	40	0	21.4	6091.11	0.31	56.12	0.75	22.62	0.25	0.90499
01	Ra-226	det4	HV-CSU	40	0	21.4	7802.59	0.26	50.35	0.64	24.05	0.26	0.91670
02	Ra-226	det4	HV-CSU	50	0	21.4	4857.73	0.40	64.85	1.00	20.43	0.26	0.87258
02	Ra-226	det4	HV-CSU	50	0	21.4	5392.28	0.53	62.11	1.30	14.37	0.25	0.89187
02	Ra-226	det4	HV-CSU	50	0	21.4	5582.29	0.53	56.47	1.30	20.97	0.25	0.89187
02	Ra-226	det4	HV-CSU	50	0	21.4	6108.87	0.31	55.03	0.77	21.60	0.26	0.89726
02	Ra-226	det4	HV-CSU	50	0	21.4	7825.22	0.26	50.69	0.63	23.04	0.24	0.91886
03	Ra-226	det4	HV-CSU	60	0	21.4	4862.22	0.43	64.65	1.08	20.89	0.29	0.85487
03	Ra-226	det4	HV-CSU	60	0	21.4	5397.55	0.55	60.71	1.36	14.02	0.26	0.87839
03	Ra-226	det4	HV-CSU	60	0	21.4	5589.83	0.55	57.35	1.36	20.10	0.26	0.87839
03	Ra-226	det4	HV-CSU	60	0	21.4	6117.21	0.30	57.46	0.75	21.70	0.24	0.90996
03	Ra-226	det4	HV-CSU	60	0	21.4	7834.96	0.26	50.09	0.63	24.33	0.26	0.91831
04	Ra-226	det4	HV-CSU	70	0	21.4	4864.04	0.41	66.19	1.01	21.16	0.27	0.87524
04	Ra-226	det4	HV-CSU	70	0	21.4	5397.13	0.58	60.69	1.43	14.13	0.28	0.86833
04	Ra-226	det4	HV-CSU	70	0	21.4	5589.77	0.58	56.92	1.43	20.50	0.28	0.86833
04	Ra-226	det4	HV-CSU	70	0	21.4	6115.97	0.30	54.34	0.75	22.39	0.26	0.90178
04	Ra-226	det4	HV-CSU	70	0	21.4	7835.58	0.27	47.81	0.66	24.25	0.28	0.90434
05	Ra-226	det4	HV-CSU	80	0	21.4	4862.15	0.40	65.59	0.99	20.92	0.27	0.87601
05	Ra-226	det4	HV-CSU	80	0	21.4	5397.23	0.55	59.73	1.35	14.41	0.27	0.88628
05	Ra-226	det4	HV-CSU	80	0	21.4	5588.72	0.55	57.06	1.35	21.82	0.27	0.88628
05	Ra-226	det4	HV-CSU	80	0	21.4	6115.35	0.29	52.01	0.71	24.08	0.27	0.90477
05	Ra-226	det4	HV-CSU	80	0	21.4	7833.74	0.25	49.60	0.62	24.73	0.26	0.91985
06	Ra-226	det4	HV-CSU	90	0	21.4	4861.97	0.41	67.08	1.01	19.91	0.25	0.87703
06	Ra-226	det4	HV-CSU	90	0	21.4	5395.39	0.50	59.30	1.24	14.28	0.25	0.89602
06	Ra-226	det4	HV-CSU	90	0	21.4	5588.61	0.50	56.60	1.24	20.99	0.25	0.89602
06	Ra-226	det4	HV-CSU	90	0	21.4	6114.68	0.32	55.62	0.79	22.82	0.27	0.89456
06	Ra-226	det4	HV-CSU	90	0	21.4	7834.19	0.27	50.22	0.66	24.32	0.27	0.91183
07	Ra-226	det4	HV-CSU	100	0	21.4	4860.07	0.39	65.59	0.96	20.15	0.25	0.88300
07	Ra-226	det4	HV-CSU	100	0	21.4	5396.09	0.56	62.19	1.38	13.10	0.24	0.89128
07	Ra-226	det4	HV-CSU	100	0	21.4	5586.19	0.56	55.82	1.38	20.75	0.24	0.89128
07	Ra-226	det4	HV-CSU	100	0	21.4	6113.20	0.31	56.71	0.76	22.68	0.26	0.90522
07	Ra-226	det4	HV-CSU	100	0	21.4	7833.62	0.28	51.28	0.68	24.00	0.27	0.90865
08	Ra-226	det4	HV-CSU	110	0	21.4	4862.31	0.38	65.37	0.94	20.74	0.25	0.88794
08	Ra-226	det4	HV-CSU	110	0	21.4	5394.87	0.52	59.71	1.28	14.87	0.27	0.88636
08	Ra-226	det4	HV-CSU	110	0	21.4	5584.74	0.52	54.41	1.28	21.29	0.27	0.88636
08	Ra-226	det4	HV-CSU	110	0	21.4	6111.90	0.31	56.38	0.77	21.75	0.25	0.90189
08	Ra-226	det4	HV-CSU	110	0	21.4	7829.77	0.27	52.81	0.67	22.72	0.24	0.91439
