Пик,Напряжение (В),Амплитуда,ΔАмплитуда
"4870,62 кэВ",40,6.57,0.15
"4870,62 кэВ",50,6.41,0.15
"4870,62 кэВ",60,7.28,0.17
"4870,62 кэВ",70,6.31,0.14
"4870,62 кэВ",80,6.31,0.14
"4870,62 кэВ",90,6.79,0.15
"4870,62 кэВ",100,6.61,0.16
"4870,62 кэВ",110,6.47,0.15
"4870,62 кэВ",120,6.82,0.14
"4870,62 кэВ",140,6.46,0.14
"4870,62 кэВ",160,5.57,0.12
"4870,62 кэВ",200,6.36,0.15
"5407,45 кэВ",40,4.87,0.16
"5407,45 кэВ",50,4.72,0.16
"5407,45 кэВ",60,4.78,0.14
"5407,45 кэВ",70,4.5,0.15
"5407,45 кэВ",80,5.2,0.16
"5407,45 кэВ",90,4.64,0.16
"5407,45 кэВ",100,4.87,0.15
"5407,45 кэВ",110,4.62,0.15
"5407,45 кэВ",120,4.65,0.15
"5407,45 кэВ",140,5.07,0.16
"5407,45 кэВ",160,3.28,0.12
"5407,45 кэВ",200,4.96,0.16
"5590,3 кэВ",40,7.35,0.16
"5590,3 кэВ",50,7.22,0.16
"5590,3 кэВ",60,7.32,0.14
"5590,3 кэВ",70,7.63,0.15
"5590,3 кэВ",80,7.7,0.16
"5590,3 кэВ",90,7.3,0.16
"5590,3 кэВ",100,6.58,0.15
"5590,3 кэВ",110,7.37,0.15
"5590,3 кэВ",120,7.04,0.15
"5590,3 кэВ",140,7.62,0.16
"5590,3 кэВ",160,4.9,0.12
"5590,3 кэВ",200,7.3,0.16
"6114,68 кэВ",40,7.06,0.15
"6114,68 кэВ",50,7.29,0.13
"6114,68 кэВ",60,6.9,0.12
"6114,68 кэВ",70,7.13,0.13
"6114,68 кэВ",80,7.25,0.13
"6114,68 кэВ",90,7.25,0.15
"6114,68 кэВ",100,7.96,0.14
"6114,68 кэВ",110,7.16,0.13
"6114,68 кэВ",120,7.0,0.12
"6114,68 кэВ",140,7.57,0.15
"6114,68 кэВ",160,5.8,0.11
"6114,68 кэВ",200,7.72,0.14
"7833,46 кэВ",40,8.21,0.14
"7833,46 кэВ",50,7.99,0.13
"7833,46 кэВ",60,8.81,0.15
"7833,46 кэВ",70,8.54,0.13
"7833,46 кэВ",80,8.31,0.14
"7833,46 кэВ",90,8.83,0.15
"7833,46 кэВ",100,8.6,0.14
"7833,46 кэВ",110,8.58,0.15
"7833,46 кэВ",120,8.92,0.14
"7833,46 кэВ",140,7.97,0.12
"7833,46 кэВ",160,5.52,0.1
"7833,46 кэВ",200,7.99,0.14
