Пик,Напряжение (В),ПШПВ (кэВ),ΔПШПВ (кэВ)
"4870,62 кэВ",40,55.07,1.52
"4870,62 кэВ",50,60.29,1.64
"4870,62 кэВ",60,54.15,1.54
"4870,62 кэВ",70,59.76,1.63
"4870,62 кэВ",80,61.06,1.64
"4870,62 кэВ",90,58.26,1.56
"4870,62 кэВ",100,57.91,1.65
"4870,62 кэВ",110,57.9,1.58
"4870,62 кэВ",120,60.68,1.5
"4870,62 кэВ",140,61.6,1.64
"4870,62 кэВ",160,65.91,1.71
"4870,62 кэВ",200,61.34,1.71
"5407,45 кэВ",40,47.57,1.87
"5407,45 кэВ",50,50.07,1.96
"5407,45 кэВ",60,50.19,1.74
"5407,45 кэВ",70,50.07,1.96
"5407,45 кэВ",80,45.25,1.69
"5407,45 кэВ",90,41.83,1.67
"5407,45 кэВ",100,48.05,1.7
"5407,45 кэВ",110,45.83,1.79
"5407,45 кэВ",120,48.21,1.87
"5407,45 кэВ",140,44.85,1.63
"5407,45 кэВ",160,70.75,3.04
"5407,45 кэВ",200,44.95,1.75
"5590,3 кэВ",40,44.51,1.87
"5590,3 кэВ",50,46.96,1.96
"5590,3 кэВ",60,46.2,1.74
"5590,3 кэВ",70,44.58,1.96
"5590,3 кэВ",80,47.84,1.69
"5590,3 кэВ",90,45.33,1.67
"5590,3 кэВ",100,47.97,1.7
"5590,3 кэВ",110,43.41,1.79
"5590,3 кэВ",120,45.74,1.87
"5590,3 кэВ",140,42.74,1.63
"5590,3 кэВ",160,66.03,3.04
"5590,3 кэВ",200,46.87,1.75
"6114,68 кэВ",40,55.54,1.36
"6114,68 кэВ",50,55.69,1.21
"6114,68 кэВ",60,57.55,1.24
"6114,68 кэВ",70,56.38,1.18
"6114,68 кэВ",80,51.44,1.11
"6114,68 кэВ",90,56.91,1.37
"6114,68 кэВ",100,55.74,1.18
"6114,68 кэВ",110,61.29,1.33
"6114,68 кэВ",120,64.94,1.35
"6114,68 кэВ",140,65.99,1.55
"6114,68 кэВ",160,80.52,1.91
"6114,68 кэВ",200,63.78,1.35
"7833,46 кэВ",40,51.54,1.07
"7833,46 кэВ",50,52.24,1.05
"7833,46 кэВ",60,49.6,1.0
"7833,46 кэВ",70,49.11,0.92
"7833,46 кэВ",80,55.51,1.08
"7833,46 кэВ",90,52.15,1.07
"7833,46 кэВ",100,54.84,1.08
"7833,46 кэВ",110,55.4,1.15
"7833,46 кэВ",120,54.49,1.05
"7833,46 кэВ",140,58.52,1.09
"7833,46 кэВ",160,97.44,2.07
"7833,46 кэВ",200,60.39,1.26
