Пик,Напряжение (В),Нормированная энергия,Нормированная ΔЭнергия
"4870,62 кэВ",40,0.9943411082592823,0.00012679844160624996
"4870,62 кэВ",50,0.9954127596044708,0.000134978986226008
"4870,62 кэВ",60,0.9957093043469369,0.00012884357776118946
"4870,62 кэВ",70,0.9960201650424877,0.000134978986226008
"4870,62 кэВ",80,0.9962758070618551,0.000134978986226008
"4870,62 кэВ",90,0.9957297557084864,0.00012884357776118946
"4870,62 кэВ",100,0.9958238319716135,0.00013702412238094752
"4870,62 кэВ",110,0.9964435082265602,0.00013088871391612897
"4870,62 кэВ",120,0.9961592343010236,0.00012475330545131042
"4870,62 кэВ",140,0.9954638880083443,0.000134978986226008
"4870,62 кэВ",160,0.9990633276410377,0.00014111439469082654
"4870,62 кэВ",200,1.0,0.00014111439469082654
"5407,45 кэВ",40,0.9951679760706801,0.00014217265668996207
"5407,45 кэВ",50,0.9964567619715841,0.0001477118511064541
"5407,45 кэВ",60,0.9966838689426601,0.000131094267856978
"5407,45 кэВ",70,0.9968980511267644,0.0001477118511064541
"5407,45 кэВ",80,0.9964198340088074,0.00012740147157931663
"5407,45 кэВ",90,0.996445683582751,0.00012740147157931663
"5407,45 кэВ",100,0.9966377089891894,0.00012924786971814733
"5407,45 кэВ",110,0.9966746369519659,0.00013478706413463934
"5407,45 кэВ",120,0.9962647365651456,0.00014217265668996207
"5407,45 кэВ",140,0.9955871084481948,0.0001237086753016553
"5407,45 кэВ",160,0.9988921611167016,0.00022526057293734247
"5407,45 кэВ",200,1.0,0.00013294066599580867
"5590,3 кэВ",40,0.9950943766327558,0.00013730752427400876
"5590,3 кэВ",50,0.9959075224907941,0.00014265716807689222
"5590,3 кэВ",60,0.9964781511631017,0.0001266082366682418
"5590,3 кэВ",70,0.9966564726231978,0.00014265716807689222
"5590,3 кэВ",80,0.9966118922581738,0.0001230418074663195
"5590,3 кэВ",90,0.996417521866669,0.0001230418074663195
"5590,3 кэВ",100,0.9965245147427266,0.00012482502206728066
"5590,3 кэВ",110,0.9966136754727747,0.00013017466587016415
"5590,3 кэВ",120,0.9962249346897653,0.00013730752427400876
"5590,3 кэВ",140,0.9953725581105057,0.00011947537826439723
"5590,3 кэВ",160,0.9986643722638799,0.0002175521813172606
"5590,3 кэВ",200,1.0,0.00012839145126920297
"6114,68 кэВ",40,0.9941186431846603,8.955554397665695e-05
"6114,68 кэВ",50,0.9950272248853689,7.978584827011255e-05
"6114,68 кэВ",60,0.9956085217799084,8.141413088786995e-05
"6114,68 кэВ",70,0.9955710712796999,7.815756565235515e-05
"6114,68 кэВ",80,0.99512817840767,7.327271779908296e-05
"6114,68 кэВ",90,0.9957159884326804,8.955554397665695e-05
"6114,68 кэВ",100,0.9955987520842018,7.815756565235515e-05
"6114,68 кэВ",110,0.9962500651313048,8.792726135889956e-05
"6114,68 кэВ",120,0.9957615803459775,8.792726135889956e-05
"6114,68 кэВ",140,0.9952095925385579,0.00010258180491871614
"6114,68 кэВ",160,0.9989285900375157,0.00012537776156731973
"6114,68 кэВ",200,1.0,8.955554397665695e-05
"7833,46 кэВ",40,0.9944043645193187,5.599453289742438e-05
"7833,46 кэВ",50,0.9953180934879631,5.472192987702837e-05
"7833,46 кэВ",60,0.9956413346551437,5.217672383623635e-05
"7833,46 кэВ",70,0.9960422046065684,4.835891477504833e-05
"7833,46 кэВ",80,0.9958933100531822,5.599453289742438e-05
"7833,46 кэВ",90,0.995832225108203,5.472192987702837e-05
"7833,46 кэВ",100,0.9961580114814245,5.599453289742438e-05
"7833,46 кэВ",110,0.9962190964264035,5.98123419586124e-05
"7833,46 кэВ",120,0.9963069060348109,5.472192987702837e-05
"7833,46 кэВ",140,0.9952900962215143,5.599453289742438e-05
"7833,46 кэВ",160,0.9981623612385482,0.0001043534476724727
"7833,46 кэВ",200,1.0,6.490275404019644e-05
