Пик,Напряжение (В),Энергия (кэВ),ΔЭнергия (кэВ)
"4870,62 кэВ",40,4861.98,0.62
"4870,62 кэВ",50,4867.22,0.66
"4870,62 кэВ",60,4868.67,0.63
"4870,62 кэВ",70,4870.19,0.66
"4870,62 кэВ",80,4871.44,0.66
"4870,62 кэВ",90,4868.77,0.63
"4870,62 кэВ",100,4869.23,0.67
"4870,62 кэВ",110,4872.26,0.64
"4870,62 кэВ",120,4870.87,0.61
"4870,62 кэВ",140,4867.47,0.66
"4870,62 кэВ",160,4885.07,0.69
"4870,62 кэВ",200,4889.65,0.69
"5407,45 кэВ",40,5389.78,0.77
"5407,45 кэВ",50,5396.76,0.8
"5407,45 кэВ",60,5397.99,0.71
"5407,45 кэВ",70,5399.15,0.8
"5407,45 кэВ",80,5396.56,0.69
"5407,45 кэВ",90,5396.7,0.69
"5407,45 кэВ",100,5397.74,0.7
"5407,45 кэВ",110,5397.94,0.73
"5407,45 кэВ",120,5395.72,0.77
"5407,45 кэВ",140,5392.05,0.67
"5407,45 кэВ",160,5409.95,1.22
"5407,45 кэВ",200,5415.95,0.72
"5590,3 кэВ",40,5580.34,0.77
"5590,3 кэВ",50,5584.9,0.8
"5590,3 кэВ",60,5588.1,0.71
"5590,3 кэВ",70,5589.1,0.8
"5590,3 кэВ",80,5588.85,0.69
"5590,3 кэВ",90,5587.76,0.69
"5590,3 кэВ",100,5588.36,0.7
"5590,3 кэВ",110,5588.86,0.73
"5590,3 кэВ",120,5586.68,0.77
"5590,3 кэВ",140,5581.9,0.67
"5590,3 кэВ",160,5600.36,1.22
"5590,3 кэВ",200,5607.85,0.72
"6114,68 кэВ",40,6105.32,0.55
"6114,68 кэВ",50,6110.9,0.49
"6114,68 кэВ",60,6114.47,0.5
"6114,68 кэВ",70,6114.24,0.48
"6114,68 кэВ",80,6111.52,0.45
"6114,68 кэВ",90,6115.13,0.55
"6114,68 кэВ",100,6114.41,0.48
"6114,68 кэВ",110,6118.41,0.54
"6114,68 кэВ",120,6115.41,0.54
"6114,68 кэВ",140,6112.02,0.63
"6114,68 кэВ",160,6134.86,0.77
"6114,68 кэВ",200,6141.44,0.55
"7833,46 кэВ",40,7813.94,0.44
"7833,46 кэВ",50,7821.12,0.43
"7833,46 кэВ",60,7823.66,0.41
"7833,46 кэВ",70,7826.81,0.38
"7833,46 кэВ",80,7825.64,0.44
"7833,46 кэВ",90,7825.16,0.43
"7833,46 кэВ",100,7827.72,0.44
"7833,46 кэВ",110,7828.2,0.47
"7833,46 кэВ",120,7828.89,0.43
"7833,46 кэВ",140,7820.9,0.44
"7833,46 кэВ",160,7843.47,0.82
"7833,46 кэВ",200,7857.91,0.51
