SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det4	HV-keithley	40	0.60	21.0	4861.98	0.62	55.07	1.52	6.57	0.15	0.70091
01	Ra-226	det4	HV-keithley	40	0.60	21.0	5389.78	0.77	47.57	1.87	4.87	0.16	0.72924
01	Ra-226	det4	HV-keithley	40	0.60	21.0	5580.34	0.77	44.51	1.87	7.35	0.16	0.72924
01	Ra-226	det4	HV-keithley	40	0.60	21.0	6105.32	0.55	55.54	1.36	7.06	0.15	0.74437
01	Ra-226	det4	HV-keithley	40	0.60	21.0	7813.94	0.44	51.54	1.07	8.21	0.14	0.80853
02	Ra-226	det4	HV-keithley	50	0.79	21.0	4867.22	0.66	60.29	1.64	6.41	0.15	0.70234
02	Ra-226	det4	HV-keithley	50	0.79	21.0	5396.76	0.80	50.07	1.96	4.72	0.16	0.73465
02	Ra-226	det4	HV-keithley	50	0.79	21.0	5584.90	0.80	46.96	1.96	7.22	0.16	0.73465
02	Ra-226	det4	HV-keithley	50	0.79	21.0	6110.90	0.49	55.69	1.21	7.29	0.13	0.79045
02	Ra-226	det4	HV-keithley	50	0.79	21.0	7821.12	0.43	52.24	1.05	7.99	0.13	0.81914
03	Ra-226	det4	HV-keithley	60	0.92	21.0	4868.67	0.63	54.15	1.54	7.28	0.17	0.68733
03	Ra-226	det4	HV-keithley	60	0.92	21.0	5397.99	0.71	50.19	1.74	4.78	0.14	0.77685
03	Ra-226	det4	HV-keithley	60	0.92	21.0	5588.10	0.71	46.20	1.74	7.32	0.14	0.77685
03	Ra-226	det4	HV-keithley	60	0.92	21.0	6114.47	0.50	57.55	1.24	6.90	0.12	0.79087
03	Ra-226	det4	HV-keithley	60	0.92	21.0	7823.66	0.41	49.60	1.00	8.81	0.15	0.81852
04	Ra-226	det4	HV-keithley	70	1.03	21.0	4870.19	0.66	59.76	1.63	6.31	0.14	0.69917
04	Ra-226	det4	HV-keithley	70	1.03	21.0	5399.15	0.80	50.07	1.96	4.50	0.15	0.75663
04	Ra-226	det4	HV-keithley	70	1.03	21.0	5589.10	0.80	44.58	1.96	7.63	0.15	0.75663
04	Ra-226	det4	HV-keithley	70	1.03	21.0	6114.24	0.48	56.38	1.18	7.13	0.13	0.80129
04	Ra-226	det4	HV-keithley	70	1.03	21.0	7826.81	0.38	49.11	0.92	8.54	0.13	0.83947
05	Ra-226	det4	HV-keithley	80	1.14	21.0	4871.44	0.66	61.06	1.64	6.31	0.14	0.70673
05	Ra-226	det4	HV-keithley	80	1.14	21.0	5396.56	0.69	45.25	1.69	5.20	0.16	0.75965
05	Ra-226	det4	HV-keithley	80	1.14	21.0	5588.85	0.69	47.84	1.69	7.70	0.16	0.75965
05	Ra-226	det4	HV-keithley	80	1.14	21.0	6111.52	0.45	51.44	1.11	7.25	0.13	0.79247
05	Ra-226	det4	HV-keithley	80	1.14	21.0	7825.64	0.44	55.51	1.08	8.31	0.14	0.82338
06	Ra-226	det4	HV-keithley	90	1.26	21.0	4868.77	0.63	58.26	1.56	6.79	0.15	0.71044
06	Ra-226	det4	HV-keithley	90	1.26	21.0	5396.70	0.69	41.83	1.67	4.64	0.16	0.75532
