* 01-џэт-2009  01:30:38
* 100kHz
* Detector: 1
* Side N
* Type: 10072025
* C common
0.0 1613.1
2.0 1096.6
4.0 664.1
6.0 503.1
8.0 424.6
10.0 377.5
12.0 342.4
14.0 316.6
16.0 294.1
18.0 277.7
20.0 263.1
22.0 250.6
24.0 239.7
26.0 230.0
28.0 221.6
30.0 214.3
32.0 207.2
34.0 201.1
36.0 195.5
38.0 190.1
40.0 185.3
42.0 181.0
44.0 176.8
46.0 172.8
48.0 169.5
50.0 166.1
52.0 162.7
54.0 159.8
56.0 157.0
58.0 154.6
60.0 151.7
62.0 149.4
64.0 147.3
66.0 144.8
68.0 142.6
70.0 140.8
72.0 139.0
74.0 136.9
76.0 135.1
78.0 133.6
80.0 132.0
82.0 130.2
84.0 128.9
86.0 127.7
88.0 126.2
90.0 125.1
92.0 124.4
94.0 123.6
96.0 122.7
98.0 122.1
100.0 121.8
102.0 121.7
104.0 121.6
106.0 121.5
108.0 121.3
110.0 121.0
112.0 120.9
114.0 121.1
116.0 121.1
118.0 120.8
120.0 121.1
122.0 120.8
124.0 120.8
126.0 121.0
128.0 120.7
130.0 120.9
132.0 120.8
134.0 120.6
136.0 120.9
138.0 120.7
140.0 120.8
142.0 120.8
144.0 120.6
146.0 120.9
148.0 120.5
150.0 120.8
152.0 120.6
154.0 120.8
156.0 119.8
158.0 120.7
160.0 120.5
162.0 120.8
164.0 120.5
166.0 120.7
168.0 119.8
170.0 119.8
172.0 119.8
174.0 119.8
176.0 119.8
178.0 120.6
180.0 120.4
182.0 120.7
184.0 120.7
186.0 120.4
188.0 120.6
190.0 120.7
192.0 120.4
194.0 120.5
196.0 120.7
198.0 120.6
200.0 120.4
202.0 120.6
204.0 120.6
206.0 120.4
208.0 120.4
210.0 120.7
212.0 120.4
214.0 120.4
216.0 120.6
218.0 120.5
220.0 120.3
222.0 120.5
224.0 120.6
226.0 120.4
228.0 120.3
230.0 120.6
232.0 120.4
234.0 120.3
236.0 120.5
238.0 120.5
240.0 120.3
242.0 120.5
244.0 120.6
246.0 120.3
248.0 120.5
250.0 119.5
252.0 119.5
254.0 120.6
256.0 119.6
258.0 119.5
260.0 119.5
262.0 120.5
264.0 120.2
266.0 120.4
268.0 120.5
270.0 119.6
272.0 119.6
274.0 119.6
276.0 119.6
278.0 120.4
280.0 120.2
282.0 120.4
284.0 120.2
286.0 120.1
288.0 120.3
290.0 119.3
292.0 120.1
294.0 119.9
296.0 120.2
298.0 120.0
300.0 119.9
