Voltage_V,Capacitance_nF,InvC2_1_per_uF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
0,1570.8,0.405282839112,0.292996862954,0.457858749924,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
1,1196.7,0.698279702066,0.475606134181,0.524583155821,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
2,858.6,1.35649510747,0.756099345276,0.582617943919,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
3,672.6,2.21047839262,0.685073907429,0.632477848002,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
4,605.6,2.72664292233,0.702616086756,0.674677601849,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
5,525.9,3.61571056613,0.795110091235,0.709731939243,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
6,481.3,4.3168631048,0.764256308923,0.738155593965,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
7,440.9,5.14422318397,0.792908639374,0.760463299796,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
8,411.6,5.90268038355,0.757753132258,0.777169790517,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
9,387.5,6.65972944849,0.750820944788,0.78878979991,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
10,367.5,7.40432227313,0.749436566502,0.795838061756,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
11,350.1,8.1586025815,0.75583522054,0.798829309837,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
12,334.9,8.91599271421,0.74903960248,0.798278277933,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
13,321.8,9.65668178646,0.741562179578,0.794699699827,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
14,310.1,10.3991170734,0.790716882936,0.788608309299,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
15,298.3,11.2381155523,0.791104894547,0.780518840131,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
16,288.9,11.9813268625,0.749392209342,0.76458812163,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
17,280.2,12.736899971,0.74772121086,0.752428820214,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
18,272.4,13.4767692842,0.740786562113,0.751173751486,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
19,265.2,14.2184730952,0.738367145901,0.74555243703,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
20,258.6,14.953503576,0.733131847637,0.740114528821,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
21,252.5,15.6847367905,0.738704804905,0.738822885553,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
22,246.7,16.4309131858,0.737793309904,0.736930311841,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
23,241.4,17.1603234103,0.731494429347,0.736661775098,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
24,236.4,17.8939020445,0.725411737776,0.73438509287,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
25,231.8,18.6111468859,0.730726195866,0.732042785309,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
26,227.3,19.3553544362,0.730911185987,0.729186986426,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
27,223.2,20.0729692578,0.718956435087,0.727197819517,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
28,219.3,20.7932673064,0.730037945783,0.72537873013,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
29,215.5,21.5330451494,0.728321846982,0.722842225644,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
