Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
0,256.2,15.2349751152,4.50056470412,16.1951638309,31.4920005125,54.0074993885,0.229422626605,0.198947974901
1,225.1,19.7355398193,12.0117861279,20.8058407916,31.4920005125,54.0074993885,0.229422626605,0.198947974901
2,159.6,39.2585473709,26.1023921215,24.7314725678,31.4920005125,54.0074993885,0.229422626605,0.198947974901
3,117.9,71.9403240624,24.6197278358,28.0165555816,31.4920005125,54.0074993885,0.229422626605,0.198947974901
4,106.3,88.4980030426,49.6908669976,30.7055862554,31.4920005125,54.0074993885,0.229422626605,0.198947974901
5,76.4,171.322058058,56.0647799873,32.8430610112,31.4920005125,54.0074993885,0.229422626605,0.198947974901
6,70.6,200.627563017,39.1240287092,34.4734762715,31.4920005125,54.0074993885,0.229422626605,0.198947974901
7,63.3,249.570115476,45.2907100988,35.6413284584,31.4920005125,54.0074993885,0.229422626605,0.198947974901
8,58.6,291.208983215,38.1259667768,36.3911139943,31.4920005125,54.0074993885,0.229422626605,0.198947974901
9,55.4,325.82204903,34.427121944,36.7673293012,31.4920005125,54.0074993885,0.229422626605,0.198947974901
10,52.7,360.063227103,33.9269699422,36.8144708016,31.4920005125,54.0074993885,0.229422626605,0.198947974901
11,50.4,393.675988914,12.9582236038,36.5770349176,31.4920005125,54.0074993885,0.229422626605,0.198947974901
12,50.9,385.97967431,12.2611645461,36.0995180715,31.4920005125,54.0074993885,0.229422626605,0.198947974901
13,48.9,418.198318006,31.4427971453,35.4264166855,31.4920005125,54.0074993885,0.229422626605,0.198947974901
14,47.2,448.865268601,35.6341795511,34.6022271819,31.4920005125,54.0074993885,0.229422626605,0.198947974901
15,45.2,489.466677109,37.389965179,33.6714459829,31.4920005125,54.0074993885,0.229422626605,0.198947974901
16,43.7,523.645198959,33.3905489501,32.3921817307,31.4920005125,54.0074993885,0.229422626605,0.198947974901
17,42.4,556.247775009,32.7386221248,30.8913737294,31.4920005125,54.0074993885,0.229422626605,0.198947974901
18,41.2,589.122443209,32.8194524002,29.9948180175,31.4920005125,54.0074993885,0.229422626605,0.198947974901
19,40.1,621.886679809,32.4905376071,29.1539451173,31.4920005125,54.0074993885,0.229422626605,0.198947974901
