Voltage_V,Capacitance_nF,InvC2_1_per_uF2,D2InvC2,SmoothedD2InvC2,Gauss_A,Gauss_x0,Gauss_sigma,Gauss_y0
0,80.1,155.860106203,24.3715519954,58.2969275076,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
1,61.3,266.120941323,116.489019415,73.9657211038,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
2,48.5,425.124880434,121.628197746,67.0400130765,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
3,32.4,952.598689224,10.1448923311,48.3829388209,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
4,29.1,1180.90244565,-15.6630407026,25.9847882946,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
5,24.4,1679.65600645,-29.3471113955,5.31568194191,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
6,23.1,1874.02784805,15.6738833091,-10.3217533808,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
7,20.9,2289.32487809,5.71175248539,-19.4397084799,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
8,19.5,2629.84878369,-39.340983553,-22.0125158994,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
9,18.5,2921.84075968,-2.81818525925,-19.1239739962,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
10,17.6,3228.30578512,19.8718033618,-6.18989451307,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
11,16.8,3543.08390023,13.0589043365,4.07002795742,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
12,16,3906.25,-19.9731517101,-2.81028768474,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
13,15.4,4216.56265812,-33.4497119111,-9.67254164122,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
14,14.9,4504.30160804,-18.1062860107,-10.6900039682,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
15,14.5,4756.24256837,8.00297030695,-5.4984993476,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
16,14.1,5029.92807203,24.4190713482,-0.310952564345,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
17,13.7,5327.93435985,4.38340299681,-1.02861153598,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
18,13.3,5653.23082141,-43.2544864501,-6.28683018925,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
19,13,5917.15976331,-26.5962916946,-7.9895212484,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
20,12.8,6103.515625,41.2058993035,-2.89667530543,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
21,12.5,6400,15.4010519395,-6.22820833514,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
22,12.2,6718.6240258,-37.9720322459,-16.5054378651,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
23,12,6944.44444444,-45.9383446563,-22.9990091128,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
24,11.8,7181.84429762,-53.358889088,-27.4411246397,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
25,11.7,7305.13551026,7.212177155,-25.7179982968,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
26,11.6,7431.62901308,37.5132762986,-25.4781775721,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
27,11.4,7694.6752847,-63.1870563511,-31.8238432227,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
28,11.3,7831.46683374,-99.9594551646,-25.7199197178,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
29,11.3,7831.46683374,0.920098184318,-9.2960900774,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
30,11.3,7831.46683374,35.1179854431,-5.55816505347,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
31,11.2,7971.93877551,0.953403789524,-11.7945333204,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
32,11.2,7971.93877551,0.953403789524,-10.5586790467,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
33,11.1,8116.22433244,-36.0713892326,-3.43575068488,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
34,11.1,8116.22433244,0.988230136616,7.1599351287,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
35,11.1,8116.22433244,37.0596193692,7.3208149458,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
36,11,8264.46280992,-37.0596193692,-9.24331782956,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
37,11,8264.46280992,-37.0596193692,-14.342755724,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
38,11,8264.46280992,38.0842806871,-3.17771015287,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
39,11,8264.46280992,38.0842806871,2.89438774632,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
40,10.9,8416.79993267,-38.0842806871,4.26182293116,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
41,10.9,8416.79993267,-38.0842806871,1.74488159214,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
42,10.9,8416.79993267,0,-7.7456009349,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
43,10.9,8416.79993267,39.1470675881,-5.27989751777,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
44,10.9,8416.79993267,39.1470675881,1.21754627816,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
45,10.8,8573.38820302,-39.1470675881,-1.58503007985,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
46,10.8,8573.38820302,-39.1470675881,-0.0980467312278,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
47,10.8,8573.38820302,0,5.56996700222,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
48,10.8,8573.38820302,0,4.11142710077,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
49,10.8,8573.38820302,40.2497699286,-3.76132037396,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
50,10.8,8573.38820302,40.2497699286,-6.18005089798,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
51,10.7,8734.38728273,-40.2497699286,-3.65687887034,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
52,10.7,8734.38728273,-40.2497699286,-0.215526210718,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
53,10.7,8734.38728273,0,0.551872758106,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
54,10.7,8734.38728273,0,-7.97656443458,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
