Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
0,319.6,9.79008491528,6.18434577198,13.5359339994,22.0951436181,72.8194535719,0.217103743375,0.259692184918
1,250.2,15.9744306873,7.94941704622,16.7500899921,22.0951436181,72.8194535719,0.217103743375,0.259692184918
2,197.3,25.6889190077,19.9002375893,19.4457548499,22.0951436181,72.8194535719,0.217103743375,0.259692184918
3,133.9,55.7749058659,27.3735219557,21.6582547826,22.0951436181,72.8194535719,0.217103743375,0.259692184918
4,111.5,80.435962919,33.5675054989,23.422916,22.0951436181,72.8194535719,0.217103743375,0.259692184918
5,90.2,122.909916864,37.3243605363,24.775064712,22.0951436181,72.8194535719,0.217103743375,0.259692184918
6,80.3,155.084683992,28.6310737288,25.7500271284,22.0951436181,72.8194535719,0.217103743375,0.259692184918
7,74.5,180.172064321,25.0840732224,26.383129459,22.0951436181,72.8194535719,0.217103743375,0.259692184918
8,69.8,205.252830437,25.748824401,26.7096979137,22.0951436181,72.8194535719,0.217103743375,0.259692184918
9,65.7,231.669713123,26.6112891065,26.7650587022,22.0951436181,72.8194535719,0.217103743375,0.259692184918
10,62.2,258.47540865,25.874039356,26.5845380345,22.0951436181,72.8194535719,0.217103743375,0.259692184918
11,59.4,283.417791835,25.1972029061,26.2034621202,22.0951436181,72.8194535719,0.217103743375,0.259692184918
12,56.9,308.869814462,25.3983769251,25.6571571693,22.0951436181,72.8194535719,0.217103743375,0.259692184918
13,54.7,334.214545685,25.5967063204,24.9809493916,22.0951436181,72.8194535719,0.217103743375,0.259692184918
14,52.7,360.063227103,22.8847094956,24.2101649969,22.0951436181,72.8194535719,0.217103743375,0.259692184918
15,51.3,379.983964677,7.03182714394,23.380130195,22.0951436181,72.8194535719,0.217103743375,0.259692184918
16,51.7,374.126881391,7.62944614839,22.5162159952,22.0951436181,72.8194535719,0.217103743375,0.259692184918
17,50.3,395.242856973,21.1831232364,21.3390290557,22.0951436181,72.8194535719,0.217103743375,0.259692184918
18,49,416.493127863,23.0550774097,20.6453595912,22.0951436181,72.8194535719,0.217103743375,0.259692184918
19,47.6,441.353011793,22.9940419187,20.3552275139,22.0951436181,72.8194535719,0.217103743375,0.259692184918
20,46.5,462.481211701,21.9053412187,20.514289943,22.0951436181,72.8194535719,0.217103743375,0.259692184918
21,45.4,485.16369423,22.3914045384,20.9774576568,22.0951436181,72.8194535719,0.217103743375,0.259692184918
22,44.4,507.264020778,22.872930009,21.1332686718,22.0951436181,72.8194535719,0.217103743375,0.259692184918
23,43.4,530.909554248,24.4918771157,21.2548013547,22.0951436181,72.8194535719,0.217103743375,0.259692184918
24,42.4,556.247775009,23.4690394439,21.4057539211,22.0951436181,72.8194535719,0.217103743375,0.259692184918
25,41.6,577.847633136,22.2413566324,21.6225285966,22.0951436181,72.8194535719,0.217103743375,0.259692184918
26,40.8,600.730488274,22.0195233366,21.8432223937,22.0951436181,72.8194535719,0.217103743375,0.259692184918
27,40.1,621.886679809,21.7249926639,22.0739720557,22.0951436181,72.8194535719,0.217103743375,0.259692184918
28,39.4,644.180473601,22.9041185147,22.4967239126,22.0951436181,72.8194535719,0.217103743375,0.259692184918
29,38.7,667.694916839,24.1701510109,22.9568742683,22.0951436181,72.8194535719,0.217103743375,0.259692184918
30,38,692.520775623,21.7080971363,23.3160304482,22.0951436181,72.8194535719,0.217103743375,0.259692184918
31,37.5,711.111111111,20.9519563985,22.9286255089,22.0951436181,72.8194535719,0.217103743375,0.259692184918
32,36.9,734.42468842,23.8963640917,22.295283963,22.0951436181,72.8194535719,0.217103743375,0.259692184918
33,36.3,758.903839295,22.9128079386,22.1554797896,22.0951436181,72.8194535719,0.217103743375,0.259692184918
34,35.8,780.250304298,21.803206387,22.0674682905,22.0951436181,72.8194535719,0.217103743375,0.259692184918
35,35.3,802.510252068,20.3805087243,21.9610282618,22.0951436181,72.8194535719,0.217103743375,0.259692184918
36,34.9,821.011321746,21.2705635277,21.7866149959,22.0951436181,72.8194535719,0.217103743375,0.259692184918
37,34.4,845.051379124,22.020290684,21.7939889058,22.0951436181,72.8194535719,0.217103743375,0.259692184918
38,34,865.051903114,20.3597979664,21.7746628165,22.0951436181,72.8194535719,0.217103743375,0.259692184918
39,33.6,885.770975057,21.0957642217,21.8208251958,22.0951436181,72.8194535719,0.217103743375,0.259692184918
